Step,Value,WaveformValue
0,11,11
1,22,-22
2,43,43
3,56,-56
4,73,73
5,86,-86
6,103,103
7,115,-115
8,123,123
9,151,-151
10,176,176
11,201,-201
12,214,214
13,219,-219
14,224,224
15,251,-251
16,273,273
17,291,-291
18,313,313
19,317,-317
20,321,321
21,349,-349
22,371,371
23,392,-392
24,410,410
25,423,-423
26,449,449
27,473,-473
28,492,492
29,512,-512
30,519,519
31,526,-526
32,557,557
33,582,-582
34,603,603
35,615,-615
36,623,623
37,651,-651
38,676,676
39,701,-701
40,718,718
41,727,-727
42,761,761
43,787,-787
44,814,814
45,821,-821
46,852,852
47,873,-873
48,893,893
49,913,-913
50,922,922
51,952,-952
52,975,975
53,1000,-1000
