Step,Value,WaveformValue
0,82,82
1,85,-85
2,89,89
3,91,-91
4,93,93
5,96,-96
6,97,97
7,100,-100
8,102,102
9,107,-107
10,112,112
11,114,-114
12,116,116
13,118,-118
14,120,120
15,125,-125
16,134,134
17,139,-139
18,143,143
19,148,-148
20,152,152
21,157,-157
22,162,162
23,167,-167
24,172,172
25,177,-177
26,182,182
27,187,-187
28,192,192
29,197,-197
30,202,202
31,208,-208
32,213,213
33,216,-216
34,219,219
35,222,-222
36,231,231
37,236,-236
38,240,240
39,243,-243
40,249,249
41,254,-254
42,260,260
43,263,-263
44,269,269
45,274,-274
46,280,280
47,283,-283
48,289,289
49,294,-294
50,300,300
51,303,-303
52,309,309
53,314,-314
54,317,317
55,320,-320
56,326,326
57,333,-333
58,339,339
59,344,-344
60,350,350
61,353,-353
62,359,359
63,364,-364
64,370,370
65,373,-373
66,379,379
67,384,-384
68,390,390
69,393,-393
70,399,399
71,404,-404
72,410,410
73,415,-415
74,418,418
75,421,-421
76,429,429
77,437,-437
78,443,443
79,449,-449
80,454,454
81,460,-460
82,463,463
83,469,-469
84,474,474
85,480,-480
86,483,483
87,489,-489
88,494,494
89,500,-500
90,504,504
91,511,-511
92,515,515
93,519,-519
94,523,523
95,533,-533
96,540,540
97,544,-544
98,551,551
99,557,-557
100,564,564
101,571,-571
102,577,577
103,584,-584
104,591,591
105,597,-597
106,604,604
107,608,-608
108,611,611
109,612,-612
110,613,613
111,614,-614
112,615,615
113,616,-616
114,617,617
115,618,-618
116,619,619
117,620,-620
118,624,624
119,631,-631
120,634,634
121,638,-638
122,641,641
123,644,-644
124,648,648
125,651,-651
126,654,654
127,658,-658
128,661,661
129,664,-664
130,668,668
131,671,-671
132,674,674
133,678,-678
134,681,681
135,684,-684
136,688,688
137,691,-691
138,694,694
139,698,-698
140,701,701
141,706,-706
142,710,710
143,715,-715
144,718,718
145,721,-721
146,729,729
147,737,-737
148,743,743
149,749,-749
150,754,754
151,760,-760
152,763,763
153,769,-769
154,774,774
155,780,-780
156,783,783
157,789,-789
158,794,794
159,800,-800
160,802,802
161,807,-807
162,812,812
163,814,-814
164,816,816
165,818,-818
166,820,820
167,825,-825
168,834,834
169,839,-839
170,843,843
171,848,-848
172,852,852
173,857,-857
174,862,862
175,867,-867
176,872,872
177,877,-877
178,882,882
179,887,-887
180,892,892
181,897,-897
182,902,902
183,907,-907
184,912,912
185,914,-914
186,916,916
187,918,-918
188,920,920
189,925,-925
190,934,934
191,939,-939
192,943,943
193,948,-948
194,952,952
195,957,-957
196,962,962
197,967,-967
198,972,972
199,977,-977
200,982,982
201,987,-987
202,992,992
203,997,-997
204,1002,1002
