Step,Value,WaveformValue
0,20,20
1,24,-24
2,32,32
3,40,-40
4,45,45
5,53,-53
6,61,61
7,69,-69
8,77,77
9,85,-85
10,92,92
11,99,-99
12,106,106
13,118,-118
14,126,126
15,142,-142
16,157,157
17,173,-173
18,189,189
19,203,-203
20,214,214
21,222,-222
22,236,236
23,254,-254
24,271,271
25,286,-286
26,302,302
27,313,-313
28,322,322
29,337,-337
30,355,355
31,372,-372
32,388,388
33,405,-405
34,418,418
35,428,-428
36,446,446
37,465,-465
38,484,484
39,502,-502
40,513,513
41,522,-522
42,537,537
43,555,-555
44,572,572
45,588,-588
46,605,605
47,618,-618
48,628,628
49,646,-646
50,665,665
51,684,-684
52,702,702
53,713,-713
54,722,722
55,737,-737
56,755,755
57,772,-772
58,788,788
59,805,-805
60,818,818
61,828,-828
62,846,846
63,865,-865
64,884,884
65,902,-902
66,912,912
67,920,-920
68,932,932
69,948,-948
70,965,965
71,982,-982
72,996,996
73,1013,-1013
