Step,Value,WaveformValue
0,4,4
1,10,-10
2,14,14
3,25,-25
4,38,38
5,52,-52
6,64,64
7,80,-80
8,92,92
9,110,-110
10,123,123
11,146,-146
12,171,171
13,198,-198
14,227,227
15,253,-253
16,276,276
17,306,-306
18,321,321
19,344,-344
20,373,373
21,404,-404
22,423,423
23,450,-450
24,469,469
25,497,-497
26,531,531
27,552,-552
28,574,574
29,606,-606
30,621,621
31,644,-644
32,673,673
33,704,-704
34,723,723
35,750,-750
36,769,769
37,797,-797
38,831,831
39,854,-854
40,881,881
41,910,-910
42,926,926
43,952,-952
44,976,976
45,1008,-1008
