Step,Value,WaveformValue
0,20,20
1,27,-27
2,40,40
3,51,-51
4,66,66
5,79,-79
6,84,84
7,92,-92
8,99,99
9,104,-104
10,122,122
11,148,-148
12,177,177
13,195,-195
14,213,213
15,226,-226
16,251,251
17,279,-279
18,297,297
19,316,-316
20,328,328
21,353,-353
22,380,380
23,392,-392
24,411,411
25,431,-431
26,460,460
27,482,-482
28,503,503
29,519,-519
30,531,531
31,558,-558
32,585,585
33,603,-603
34,618,618
35,629,-629
36,652,652
37,679,-679
38,695,695
39,712,-712
40,728,728
41,753,-753
42,780,780
43,792,-792
44,811,811
45,829,-829
46,853,853
47,880,-880
48,892,892
49,911,-911
50,928,928
51,952,-952
52,979,979
53,995,-995
54,1012,1012
