Step,Value,WaveformValue
0,20,20
1,27,-27
2,39,39
3,43,-43
4,49,49
5,53,-53
6,59,59
7,63,-63
8,69,69
9,73,-73
10,79,79
11,83,-83
12,89,89
13,93,-93
14,99,99
15,103,-103
16,120,120
17,138,-138
18,154,154
19,174,-174
20,194,194
21,214,-214
22,225,225
23,249,-249
24,264,264
25,284,-284
26,304,304
27,326,-326
28,354,354
29,376,-376
30,397,397
31,415,-415
32,431,431
33,451,-451
34,471,471
35,491,-491
36,511,511
37,524,-524
38,553,553
39,572,-572
40,589,589
41,606,-606
42,629,629
43,655,-655
44,676,676
45,699,-699
46,718,718
47,730,-730
48,742,742
49,758,-758
50,775,775
51,793,-793
52,811,811
53,823,-823
54,848,848
55,865,-865
56,883,883
57,901,-901
58,916,916
59,927,-927
60,950,950
61,961,-961
62,976,976
63,995,-995
64,1012,1012
