Step,Value,WaveformValue
0,20,20
1,27,-27
2,39,39
3,44,-44
4,48,48
5,55,-55
6,59,59
7,64,-64
8,68,68
9,75,-75
10,79,79
11,84,-84
12,88,88
13,95,-95
14,99,99
15,104,-104
16,113,113
17,118,-118
18,123,123
19,139,-139
20,149,149
21,159,-159
22,169,169
23,179,-179
24,189,189
25,199,-199
26,209,209
27,218,-218
28,222,222
29,237,-237
30,246,246
31,254,-254
32,262,262
33,270,-270
34,274,274
35,282,-282
36,290,290
37,294,-294
38,302,302
39,310,-310
40,320,320
41,331,-331
42,340,340
43,344,-344
44,352,352
45,360,-360
46,364,364
47,372,-372
48,380,380
49,384,-384
50,392,392
51,400,-400
52,404,404
53,412,-412
54,416,416
55,420,-420
56,431,431
57,440,-440
58,444,444
59,452,-452
60,460,460
61,464,-464
62,472,472
63,480,-480
64,484,484
65,492,-492
66,500,500
67,504,-504
68,512,512
69,516,-516
70,520,520
71,531,-531
72,540,540
73,544,-544
74,552,552
75,560,-560
76,564,564
77,572,-572
78,580,580
79,584,-584
80,592,592
81,600,-600
82,604,604
83,612,-612
84,616,616
85,620,-620
86,631,631
87,640,-640
88,644,644
89,652,-652
90,660,660
91,664,-664
92,672,672
93,680,-680
94,684,684
95,692,-692
96,700,700
97,705,-705
98,714,714
99,719,-719
100,724,724
101,740,-740
102,745,745
103,754,-754
104,763,763
105,772,-772
106,781,781
107,791,-791
108,801,801
109,813,-813
110,820,820
111,834,-834
112,845,845
113,856,-856
114,867,867
115,879,-879
116,891,891
117,903,-903
118,912,912
119,917,-917
120,922,922
121,938,-938
122,950,950
123,955,-955
124,964,964
125,973,-973
126,982,982
127,991,-991
128,1001,1001
