Step,Value,WaveformValue
0,21,21
1,25,-25
2,31,31
3,37,-37
4,45,45
5,49,-49
6,52,52
7,55,-55
8,59,59
9,62,-62
10,65,65
11,69,-69
12,72,72
13,75,-75
14,79,79
15,82,-82
16,85,85
17,89,-89
18,92,92
19,95,-95
20,99,99
21,102,-102
22,107,107
23,113,-113
24,115,115
25,117,-117
26,119,119
27,121,-121
28,127,127
29,135,-135
30,145,145
31,151,-151
32,155,155
33,161,-161
34,165,165
35,171,-171
36,175,175
37,181,-181
38,185,185
39,191,-191
40,195,195
41,201,-201
42,206,206
43,212,-212
44,215,215
45,218,-218
46,221,221
47,228,-228
48,236,236
49,246,-246
50,252,252
51,258,-258
52,264,264
53,271,-271
54,276,276
55,282,-282
56,288,288
57,294,-294
58,301,301
59,306,-306
60,312,312
61,315,-315
62,318,318
63,321,-321
64,328,328
65,336,-336
66,346,346
67,352,-352
68,358,358
69,364,-364
70,371,371
71,376,-376
72,382,382
73,388,-388
74,394,394
75,401,-401
76,407,407
77,415,-415
78,419,419
79,423,-423
80,432,432
81,443,-443
82,450,450
83,454,-454
84,462,462
85,469,-469
86,476,476
87,483,-483
88,490,490
89,494,-494
90,502,502
91,509,-509
92,516,516
93,520,-520
94,526,526
95,535,-535
96,547,547
97,555,-555
98,563,563
99,570,-570
100,574,574
101,582,-582
102,589,589
103,596,-596
104,603,603
105,609,-609
106,615,615
107,618,-618
108,621,621
109,628,-628
110,636,636
111,646,-646
112,652,652
113,658,-658
114,664,664
115,671,-671
116,676,676
117,682,-682
118,688,688
119,694,-694
120,701,701
121,707,-707
122,715,715
123,719,-719
124,723,723
125,732,-732
126,743,743
127,750,-750
128,754,754
129,762,-762
130,769,769
131,776,-776
132,783,783
133,790,-790
134,794,794
135,802,-802
136,808,808
137,814,-814
138,817,817
139,820,-820
140,825,825
141,834,-834
142,845,845
143,852,-852
144,858,858
145,864,-864
146,871,871
147,876,-876
148,882,882
149,888,-888
150,894,894
151,901,-901
152,906,906
153,912,-912
154,915,915
155,918,-918
156,921,921
157,928,-928
158,936,936
159,946,-946
160,952,952
161,958,-958
162,964,964
163,971,-971
164,976,976
165,982,-982
166,988,988
167,994,-994
168,1001,1001
