Step,Value,WaveformValue
0,20,20
1,31,-31
2,47,47
3,65,-65
4,82,82
5,98,-98
6,119,119
7,127,-127
8,152,152
9,175,-175
10,201,201
11,212,-212
12,218,218
13,224,-224
14,247,247
15,271,-271
16,296,296
17,323,-323
18,345,345
19,368,-368
20,393,393
21,420,-420
22,440,440
23,461,-461
24,488,488
25,515,-515
26,522,522
27,543,-543
28,566,566
29,591,-591
30,619,619
31,627,-627
32,652,652
33,675,-675
34,701,701
35,715,-715
36,724,724
37,750,-750
38,771,771
39,799,-799
40,832,832
41,854,-854
42,880,880
43,901,-901
44,917,917
45,928,-928
46,955,955
47,982,-982
48,1009,1009
