Step,Value,WaveformValue
0,1,1
1,3,-3
2,7,7
3,11,-11
4,15,15
5,21,-21
6,29,29
7,39,-39
8,50,50
9,59,-59
10,73,73
11,85,-85
12,98,98
13,110,-110
14,119,119
15,133,-133
16,150,150
17,165,-165
18,185,185
19,204,-204
20,218,218
21,233,-233
22,252,252
23,274,-274
24,296,296
25,316,-316
26,333,333
27,352,-352
28,374,374
29,396,-396
30,416,416
31,435,-435
32,457,457
33,481,-481
34,501,501
35,512,-512
36,525,525
37,545,-545
38,568,568
39,590,-590
40,606,606
41,618,-618
42,633,633
43,652,-652
44,674,674
45,696,-696
46,716,716
47,733,-733
48,752,752
49,774,-774
50,796,796
51,816,-816
52,833,833
53,852,-852
54,874,874
55,896,-896
56,916,916
57,933,-933
58,952,952
59,974,-974
60,996,996
61,1016,-1016
