Step,Value,WaveformValue
0,20,20
1,24,-24
2,35,35
3,46,-46
4,60,60
5,69,-69
6,82,82
7,93,-93
8,105,105
9,115,-115
10,121,121
11,134,-134
12,153,153
13,173,-173
14,191,191
15,207,-207
16,217,217
17,224,-224
18,242,242
19,261,-261
20,280,280
21,294,-294
22,315,315
23,323,-323
24,340,340
25,356,-356
26,379,379
27,398,-398
28,418,418
29,428,-428
30,447,447
31,469,-469
32,492,492
33,513,-513
34,521,521
35,536,-536
36,556,556
37,579,-579
38,598,598
39,618,-618
40,627,627
41,644,-644
42,668,668
43,691,-691
44,710,710
45,721,-721
46,735,735
47,753,-753
48,774,774
49,795,-795
50,814,814
51,822,-822
52,838,838
53,857,-857
54,878,878
55,898,-898
56,918,918
57,925,-925
58,941,941
59,959,-959
60,979,979
61,997,-997
62,1015,1015
