Step,Value,WaveformValue
0,85,85
1,88,-88
2,91,91
3,94,-94
4,97,97
5,100,-100
6,102,102
7,107,-107
8,113,113
9,116,-116
10,119,119
11,122,-122
12,130,130
13,133,-133
14,140,140
15,143,-143
16,150,150
17,153,-153
18,160,160
19,163,-163
20,170,170
21,173,-173
22,180,180
23,183,-183
24,190,190
25,193,-193
26,200,200
27,202,-202
28,206,206
29,210,-210
30,214,214
31,216,-216
32,218,218
33,220,-220
34,225,225
35,233,-233
36,239,239
37,244,-244
38,249,249
39,254,-254
40,259,259
41,264,-264
42,269,269
43,274,-274
44,279,279
45,284,-284
46,289,289
47,294,-294
48,299,299
49,304,-304
50,311,311
51,315,-315
52,319,319
53,323,-323
54,334,334
55,341,-341
56,348,348
57,355,-355
58,362,362
59,368,-368
60,375,375
61,382,-382
62,388,388
63,395,-395
64,402,402
65,407,-407
66,413,413
67,416,-416
68,419,419
69,422,-422
70,430,430
71,433,-433
72,440,440
73,443,-443
74,450,450
75,453,-453
76,460,460
77,463,-463
78,470,470
79,473,-473
80,480,480
81,483,-483
82,490,490
83,493,-493
84,500,500
85,503,-503
86,510,510
87,515,-515
88,518,518
89,521,-521
90,530,530
91,533,-533
92,540,540
93,543,-543
94,550,550
95,553,-553
96,560,560
97,563,-563
98,570,570
99,573,-573
100,580,580
101,583,-583
102,590,590
103,593,-593
104,600,600
105,602,-602
106,606,606
107,610,-610
108,614,614
109,616,-616
110,618,618
111,620,-620
112,625,625
113,633,-633
114,639,639
115,644,-644
116,649,649
117,654,-654
118,659,659
119,664,-664
120,669,669
121,674,-674
122,679,679
123,684,-684
124,689,689
125,694,-694
126,699,699
127,704,-704
128,710,710
129,715,-715
130,718,718
131,721,-721
132,730,730
133,733,-733
134,740,740
135,743,-743
136,750,750
137,753,-753
138,760,760
139,763,-763
140,770,770
141,773,-773
142,780,780
143,783,-783
144,790,790
145,793,-793
146,800,800
147,803,-803
148,810,810
149,815,-815
150,818,818
151,821,-821
152,830,830
153,833,-833
154,840,840
155,843,-843
156,850,850
157,853,-853
158,860,860
159,863,-863
160,870,870
161,873,-873
162,880,880
163,883,-883
164,890,890
165,893,-893
166,900,900
167,903,-903
168,910,910
169,915,-915
170,918,918
171,921,-921
172,930,930
173,933,-933
174,940,940
175,943,-943
176,950,950
177,953,-953
178,960,960
179,963,-963
180,970,970
181,973,-973
182,980,980
183,983,-983
184,990,990
185,993,-993
186,1000,1000
