Step,Value,WaveformValue
0,20,20
1,23,-23
2,29,29
3,34,-34
4,38,38
5,44,-44
6,48,48
7,54,-54
8,58,58
9,64,-64
10,68,68
11,74,-74
12,78,78
13,84,-84
14,88,88
15,94,-94
16,98,98
17,104,-104
18,110,110
19,115,-115
20,117,117
21,119,-119
22,121,121
23,128,-128
24,139,139
25,143,-143
26,148,148
27,156,-156
28,160,160
29,162,-162
30,167,167
31,173,-173
32,178,178
33,186,-186
34,190,190
35,192,-192
36,197,197
37,203,-203
38,209,209
39,214,-214
40,217,217
41,220,-220
42,226,226
43,234,-234
44,241,241
45,246,-246
46,251,251
47,256,-256
48,261,261
49,266,-266
50,271,271
51,276,-276
52,281,281
53,286,-286
54,291,291
55,296,-296
56,301,301
57,306,-306
58,311,311
59,314,-314
60,317,317
61,320,-320
62,326,326
63,334,-334
64,341,341
65,346,-346
66,351,351
67,356,-356
68,361,361
69,366,-366
70,371,371
71,376,-376
72,381,381
73,386,-386
74,391,391
75,396,-396
76,401,401
77,407,-407
78,415,415
79,419,-419
80,423,423
81,433,-433
82,440,440
83,444,-444
84,452,452
85,459,-459
86,465,465
87,473,-473
88,480,480
89,484,-484
90,492,492
91,499,-499
92,505,505
93,513,-513
94,517,517
95,521,-521
96,530,530
97,534,-534
98,542,542
99,549,-549
100,555,555
101,563,-563
102,570,570
103,574,-574
104,582,582
105,589,-589
106,595,595
107,603,-603
108,608,608
109,616,-616
110,618,618
111,620,-620
112,625,625
113,634,-634
114,640,640
115,642,-642
116,647,647
117,653,-653
118,658,658
119,666,-666
120,670,670
121,672,-672
122,677,677
123,683,-683
124,688,688
125,696,-696
126,700,700
127,704,-704
128,712,712
129,716,-716
130,720,720
131,727,-727
132,738,738
133,748,-748
134,758,758
135,768,-768
136,778,778
137,788,-788
138,798,798
139,808,-808
140,820,820
141,829,-829
142,840,840
143,846,-846
144,854,854
145,864,-864
146,874,874
147,884,-884
148,894,894
149,904,-904
150,910,910
151,915,-915
152,917,917
153,919,-919
154,921,921
155,928,-928
156,939,939
157,943,-943
158,948,948
159,956,-956
160,960,960
161,962,-962
162,967,967
163,973,-973
164,978,978
165,986,-986
166,990,990
167,992,-992
168,997,997
169,1003,-1003
