Step,Value,WaveformValue
0,20,20
1,28,-28
2,41,41
3,55,-55
4,71,71
5,85,-85
6,99,99
7,113,-113
8,120,120
9,135,-135
10,157,157
11,180,-180
12,194,194
13,216,-216
14,223,223
15,244,-244
16,267,267
17,288,-288
18,307,307
19,320,-320
20,336,336
21,358,-358
22,380,380
23,395,-395
24,418,418
25,427,-427
26,451,451
27,474,-474
28,499,499
29,522,-522
30,544,544
31,569,-569
32,591,591
33,613,-613
34,621,621
35,642,-642
36,664,664
37,686,-686
38,707,707
39,721,-721
40,743,743
41,767,-767
42,790,790
43,807,-807
44,819,819
45,826,-826
46,847,847
47,870,-870
48,886,886
49,906,-906
50,918,918
51,926,-926
52,948,948
53,970,-970
54,987,987
55,1009,-1009
