Step,Value,WaveformValue
0,1,1
1,5,-5
2,9,9
3,15,-15
4,25,25
5,37,-37
6,49,49
7,60,-60
8,70,70
9,79,-79
10,94,94
11,109,-109
12,122,122
13,140,-140
14,152,152
15,171,-171
16,191,191
17,211,-211
18,228,228
19,248,-248
20,265,265
21,285,-285
22,306,306
23,317,-317
24,333,333
25,350,-350
26,365,365
27,385,-385
28,406,406
29,420,-420
30,437,437
31,458,-458
32,482,482
33,505,-505
34,516,516
35,534,-534
36,555,555
37,575,-575
38,595,595
39,615,-615
40,633,633
41,652,-652
42,672,672
43,692,-692
44,712,712
45,729,-729
46,750,750
47,766,-766
48,788,788
49,812,-812
50,831,831
51,852,-852
52,873,873
53,894,-894
54,918,918
55,939,-939
56,962,962
57,984,-984
58,1010,1010
