Step,Value,WaveformValue
0,13,13
1,20,-20
2,26,26
3,35,-35
4,47,47
5,62,-62
6,71,71
7,79,-79
8,87,87
9,96,-96
10,103,103
11,111,-111
12,120,120
13,130,-130
14,142,142
15,161,-161
16,172,172
17,186,-186
18,198,198
19,210,-210
20,218,218
21,224,-224
22,241,241
23,260,-260
24,271,271
25,285,-285
26,300,300
27,306,-306
28,315,315
29,327,-327
30,343,343
31,364,-364
32,380,380
33,391,-391
34,403,403
35,414,-414
36,428,428
37,445,-445
38,467,467
39,483,-483
40,499,499
41,512,-512
42,524,524
43,541,-541
44,560,560
45,571,-571
46,585,585
47,600,-600
48,605,605
49,614,-614
50,626,626
51,640,-640
52,656,656
53,672,-672
54,687,687
55,701,-701
56,709,709
57,717,-717
58,723,723
59,739,-739
60,755,755
61,773,-773
62,789,789
63,802,-802
64,812,812
65,824,-824
66,841,841
67,860,-860
68,871,871
69,885,-885
70,900,900
71,904,-904
72,913,913
73,924,-924
74,939,939
75,953,-953
76,969,969
77,980,-980
78,989,989
79,1000,-1000
