Step,Value,WaveformValue
0,24,24
1,38,-38
2,42,42
3,45,-45
4,48,48
5,52,-52
6,55,55
7,58,-58
8,62,62
9,65,-65
10,68,68
11,72,-72
12,75,75
13,78,-78
14,82,82
15,85,-85
16,88,88
17,92,-92
18,95,95
19,98,-98
20,102,102
21,110,-110
22,120,120
23,133,-133
24,141,141
25,151,-151
26,161,161
27,171,-171
28,181,181
29,191,-191
30,201,201
31,209,-209
32,217,217
33,220,-220
34,231,231
35,239,-239
36,247,247
37,255,-255
38,261,261
39,269,-269
40,277,277
41,285,-285
42,291,291
43,299,-299
44,307,307
45,315,-315
46,318,318
47,321,-321
48,337,337
49,345,-345
50,351,351
51,359,-359
52,367,367
53,375,-375
54,381,381
55,389,-389
56,397,397
57,405,-405
58,414,414
59,420,-420
60,434,434
61,446,-446
62,456,456
63,466,-466
64,476,476
65,486,-486
66,496,496
67,506,-506
68,513,513
69,516,-516
70,519,519
71,522,-522
72,536,536
73,543,-543
74,549,549
75,557,-557
76,565,565
77,571,-571
78,579,579
79,587,-587
80,595,595
81,601,-601
82,610,610
83,619,-619
84,623,623
85,638,-638
86,646,646
87,654,-654
88,664,664
89,674,-674
90,684,684
91,694,-694
92,704,704
93,715,-715
94,720,720
95,733,-733
96,741,741
97,751,-751
98,761,761
99,771,-771
100,781,781
101,791,-791
102,801,801
103,810,-810
104,819,819
105,823,-823
106,838,838
107,846,-846
108,854,854
109,864,-864
110,874,874
111,884,-884
112,894,894
113,904,-904
114,915,915
115,920,-920
116,933,933
117,941,-941
118,951,951
119,961,-961
120,971,971
121,981,-981
122,991,991
123,1001,-1001
