Step,Value,WaveformValue
0,20,20
1,28,-28
2,40,40
3,49,-49
4,63,63
5,74,-74
6,90,90
7,99,-99
8,113,113
9,121,-121
10,142,142
11,162,-162
12,181,181
13,203,-203
14,212,212
15,218,-218
16,224,224
17,244,-244
18,265,265
19,282,-282
20,300,300
21,306,-306
22,316,316
23,322,-322
24,339,339
25,358,-358
26,375,375
27,394,-394
28,415,415
29,424,-424
30,447,447
31,470,-470
32,489,489
33,512,-512
34,518,518
35,524,-524
36,544,544
37,565,-565
38,582,582
39,600,-600
40,607,607
41,619,-619
42,626,626
43,645,-645
44,664,664
45,685,-685
46,704,704
47,718,-718
48,726,726
49,746,-746
50,767,767
51,788,-788
52,809,809
53,821,-821
54,841,841
55,862,-862
56,880,880
57,896,-896
58,916,916
59,924,-924
60,946,946
61,967,-967
62,988,988
63,1009,-1009
