Step,Value,WaveformValue
0,20,20
1,27,-27
2,39,39
3,51,-51
4,65,65
5,78,-78
6,93,93
7,107,-107
8,120,120
9,135,-135
10,153,153
11,173,-173
12,195,195
13,217,-217
14,223,223
15,239,-239
16,257,257
17,277,-277
18,299,299
19,321,-321
20,339,339
21,357,-357
22,377,377
23,399,-399
24,421,421
25,441,-441
26,463,463
27,484,-484
28,507,507
29,518,-518
30,524,524
31,542,-542
32,560,560
33,576,-576
34,597,597
35,619,-619
36,626,626
37,644,-644
38,665,665
39,685,-685
40,705,705
41,716,-716
42,724,724
43,744,-744
44,766,766
45,788,-788
46,810,810
47,822,-822
48,839,839
49,858,-858
50,878,878
51,900,-900
52,908,908
53,920,-920
54,935,935
55,953,-953
56,973,973
57,995,-995
58,1017,1017
