Step,Value,WaveformValue
0,21,21
1,31,-31
2,42,42
3,55,-55
4,66,66
5,79,-79
6,94,94
7,109,-109
8,120,120
9,133,-133
10,150,150
11,164,-164
12,184,184
13,204,-204
14,215,215
15,221,-221
16,237,237
17,256,-256
18,274,274
19,295,-295
20,314,314
21,320,-320
22,333,333
23,350,-350
24,364,364
25,384,-384
26,404,404
27,417,-417
28,425,425
29,443,-443
30,464,464
31,486,-486
32,507,507
33,518,-518
34,524,524
35,542,-542
36,561,561
37,579,-579
38,600,600
39,607,-607
40,619,619
41,626,-626
42,644,644
43,666,-666
44,686,686
45,706,-706
46,718,718
47,726,-726
48,745,745
49,766,-766
50,787,787
51,809,-809
52,821,821
53,838,-838
54,857,857
55,877,-877
56,899,899
57,921,-921
58,939,939
59,960,-960
60,977,977
61,1000,-1000
