Step,Value,WaveformValue
0,20,20
1,28,-28
2,45,45
3,52,-52
4,59,59
5,68,-68
6,77,77
7,87,-87
8,97,97
9,107,-107
10,117,117
11,120,-120
12,131,131
13,140,-140
14,143,143
15,155,-155
16,165,165
17,175,-175
18,185,185
19,195,-195
20,205,205
21,213,-213
22,217,217
23,221,-221
24,239,239
25,252,-252
26,263,263
27,276,-276
28,286,286
29,296,-296
30,306,306
31,315,-315
32,321,321
33,341,-341
34,353,353
35,368,-368
36,383,383
37,398,-398
38,413,413
39,417,-417
40,421,421
41,439,-439
42,452,452
43,463,-463
44,476,476
45,486,-486
46,496,496
47,506,-506
48,513,513
49,517,-517
50,521,521
51,539,-539
52,552,552
53,563,-563
54,576,576
55,586,-586
56,596,596
57,606,-606
58,612,612
59,615,-615
60,618,618
61,621,-621
62,638,638
63,650,-650
64,653,653
65,665,-665
66,675,675
67,685,-685
68,695,695
69,705,-705
70,716,716
71,723,-723
72,747,747
73,764,-764
74,778,778
75,794,-794
76,808,808
77,820,-820
78,834,834
79,847,-847
80,863,863
81,878,-878
82,893,893
83,908,-908
84,920,920
85,934,-934
86,947,947
87,963,-963
88,978,978
89,993,-993
90,1008,1008
