Step,Value,WaveformValue
0,1,1
1,4,-4
2,10,10
3,14,-14
4,21,21
5,30,-30
6,37,37
7,50,-50
8,59,59
9,74,-74
10,88,88
11,100,-100
12,104,104
13,116,-116
14,131,131
15,148,-148
16,167,167
17,186,-186
18,204,204
19,219,-219
20,238,238
21,259,-259
22,283,283
23,304,-304
24,320,320
25,336,-336
26,358,358
27,382,-382
28,403,403
29,419,-419
30,441,441
31,465,-465
32,490,490
33,509,-509
34,525,525
35,547,-547
36,572,572
37,594,-594
38,619,619
39,639,-639
40,662,662
41,683,-683
42,705,705
43,721,-721
44,741,741
45,764,-764
46,789,789
47,813,-813
48,828,828
49,848,-848
50,871,871
51,892,-892
52,913,913
53,929,-929
54,951,951
55,975,-975
56,999,999
57,1023,-1023
