Step,Value,WaveformValue
0,1,1
1,2,-2
2,4,4
3,8,-8
4,16,16
5,23,-23
6,28,28
7,38,-38
8,49,49
9,62,-62
10,65,65
11,71,-71
12,74,74
13,80,-80
14,83,83
15,89,-89
16,101,101
17,107,-107
18,119,119
19,134,-134
20,141,141
21,146,-146
22,156,156
23,167,-167
24,180,180
25,183,-183
26,189,189
27,201,-201
28,207,207
29,219,-219
30,234,234
31,246,-246
32,256,256
33,267,-267
34,280,280
35,288,-288
36,304,304
37,313,-313
38,322,322
39,331,-331
40,340,340
41,349,-349
42,367,367
43,380,-380
44,388,388
45,404,-404
46,418,418
47,437,-437
48,452,452
49,464,-464
50,479,479
51,500,-500
52,510,510
53,521,-521
54,534,534
55,551,-551
56,562,562
57,575,-575
58,592,592
59,608,-608
60,617,617
61,626,-626
62,635,635
63,644,-644
64,653,653
65,662,-662
66,666,666
67,674,-674
68,681,681
69,686,-686
70,696,696
71,707,-707
72,720,720
73,723,-723
74,729,729
75,741,-741
76,747,747
77,759,-759
78,774,774
79,786,-786
80,796,796
81,807,-807
82,820,820
83,828,-828
84,844,844
85,853,-853
86,862,862
87,871,-871
88,880,880
89,889,-889
90,907,907
91,920,-920
92,928,928
93,944,-944
94,958,958
95,977,-977
96,992,992
97,1004,-1004
98,1019,1019
99,1040,-1040
100,1050,1050
101,1061,-1061
102,1074,1074
103,1091,-1091
104,1102,1102
105,1115,-1115
106,1132,1132
107,1148,-1148
108,1166,1166
109,1184,-1184
110,1202,1202
111,1206,-1206
112,1214,1214
113,1221,-1221
114,1226,1226
115,1236,-1236
116,1247,1247
117,1260,-1260
118,1263,1263
119,1269,-1269
120,1281,1281
121,1287,-1287
122,1299,1299
123,1314,-1314
124,1326,1326
125,1336,-1336
126,1347,1347
127,1360,-1360
128,1368,1368
129,1384,-1384
130,1393,1393
131,1402,-1402
132,1411,1411
133,1420,-1420
134,1429,1429
135,1447,-1447
136,1460,1460
137,1468,-1468
138,1484,1484
139,1498,-1498
140,1517,1517
141,1532,-1532
142,1544,1544
143,1559,-1559
144,1580,1580
145,1590,-1590
146,1601,1601
147,1614,-1614
148,1631,1631
149,1642,-1642
150,1655,1655
151,1672,-1672
152,1688,1688
153,1706,-1706
154,1724,1724
155,1742,-1742
156,1755,1755
157,1772,-1772
158,1788,1788
159,1811,-1811
160,1816,1816
161,1826,-1826
162,1837,1837
163,1850,-1850
164,1858,1858
165,1874,-1874
166,1883,1883
167,1892,-1892
168,1901,1901
169,1910,-1910
170,1919,1919
171,1937,-1937
172,1950,1950
173,1958,-1958
174,1974,1974
175,1988,-1988
176,2002,2002
177,2012,-2012
178,2023,2023
179,2036,-2036
180,2053,2053
181,2064,-2064
182,2077,2077
183,2094,-2094
184,2110,2110
185,2119,-2119
186,2137,2137
187,2155,-2155
188,2173,2173
189,2186,-2186
190,2203,2203
191,2219,-2219
192,2242,2242
193,2256,-2256
194,2275,2275
195,2295,-2295
196,2312,2312
197,2328,-2328
198,2351,2351
199,2365,-2365
200,2384,2384
201,2404,-2404
202,2412,2412
203,2419,-2419
204,2433,2433
205,2443,-2443
206,2454,2454
207,2467,-2467
208,2479,2479
209,2494,-2494
210,2506,2506
211,2521,-2521
212,2528,2528
213,2542,-2542
214,2552,2552
215,2563,-2563
216,2576,2576
217,2593,-2593
218,2604,2604
219,2617,-2617
220,2634,2634
221,2650,-2650
222,2659,2659
223,2677,-2677
224,2695,2695
225,2713,-2713
226,2726,2726
227,2743,-2743
228,2759,2759
229,2782,-2782
230,2796,2796
231,2815,-2815
232,2835,2835
233,2852,-2852
234,2868,2868
235,2891,-2891
236,2905,2905
237,2924,-2924
238,2944,2944
239,2961,-2961
240,2977,2977
241,3000,-3000
242,3005,3005
243,3015,-3015
244,3026,3026
245,3039,-3039
246,3056,3056
247,3072,-3072
