Step,Value,WaveformValue
0,20,20
1,28,-28
2,42,42
3,49,-49
4,55,55
5,61,-61
6,67,67
7,73,-73
8,79,79
9,85,-85
10,91,91
11,97,-97
12,103,103
13,111,-111
14,115,115
15,119,-119
16,123,123
17,141,-141
18,151,151
19,161,-161
20,171,171
21,181,-181
22,191,191
23,201,-201
24,210,210
25,219,-219
26,224,224
27,242,-242
28,254,254
29,264,-264
30,274,274
31,284,-284
32,294,294
33,304,-304
34,311,311
35,315,-315
36,319,319
37,323,-323
38,341,341
39,351,-351
40,361,361
41,371,-371
42,381,381
43,391,-391
44,401,401
45,408,-408
46,415,415
47,418,-418
48,421,421
49,438,-438
50,447,447
51,456,-456
52,465,465
53,474,-474
54,482,482
55,492,-492
56,502,502
57,511,-511
58,515,515
59,519,-519
60,523,523
61,541,-541
62,551,551
63,561,-561
64,571,571
65,581,-581
66,591,591
67,601,-601
68,609,609
69,617,-617
70,621,621
71,639,-639
72,649,649
73,659,-659
74,669,669
75,679,-679
76,689,689
77,699,-699
78,709,709
79,717,-717
80,721,721
81,739,-739
82,749,749
83,759,-759
84,769,769
85,779,-779
86,789,789
87,799,-799
88,809,809
89,817,-817
90,821,821
91,839,-839
92,849,849
93,859,-859
94,869,869
95,879,-879
96,889,889
97,899,-899
98,909,909
99,917,-917
100,921,921
101,939,-939
102,949,949
103,959,-959
104,969,969
105,979,-979
106,989,989
107,999,-999
108,1009,1009
