Step,Value,WaveformValue
0,20,20
1,25,-25
2,33,33
3,43,-43
4,52,52
5,61,-61
6,69,69
7,78,-78
8,89,89
9,97,-97
10,106,106
11,117,-117
12,125,125
13,141,-141
14,157,157
15,174,-174
16,193,193
17,210,-210
18,222,222
19,239,-239
20,258,258
21,277,-277
22,296,296
23,314,-314
24,323,323
25,340,-340
26,355,355
27,373,-373
28,392,392
29,410,-410
30,423,423
31,441,-441
32,459,459
33,478,-478
34,499,499
35,518,-518
36,527,527
37,544,-544
38,563,563
39,581,-581
40,597,597
41,615,-615
42,624,624
43,642,-642
44,660,660
45,675,-675
46,694,694
47,713,-713
48,722,722
49,739,-739
50,758,758
51,777,-777
52,796,796
53,814,-814
54,824,824
55,843,-843
56,862,862
57,881,-881
58,898,898
59,918,-918
60,927,927
61,944,-944
62,963,963
63,981,-981
64,997,997
65,1015,-1015
