Step,Value,WaveformValue
0,75,75
1,81,-81
2,86,86
3,92,-92
4,100,100
5,109,-109
6,117,117
7,120,-120
8,132,132
9,143,-143
10,153,153
11,163,-163
12,173,173
13,183,-183
14,193,193
15,203,-203
16,214,214
17,220,-220
18,235,235
19,247,-247
20,259,259
21,272,-272
22,286,286
23,298,-298
24,310,310
25,320,-320
26,334,334
27,345,-345
28,356,356
29,367,-367
30,378,378
31,389,-389
32,401,401
33,408,-408
34,416,416
35,420,-420
36,433,433
37,444,-444
38,454,454
39,464,-464
40,474,474
41,484,-484
42,494,494
43,504,-504
44,512,512
45,516,-516
46,520,520
47,533,-533
48,544,544
49,554,-554
50,564,564
51,574,-574
52,584,584
53,594,-594
54,604,604
55,612,-612
56,616,616
57,620,-620
58,633,633
59,644,-644
60,654,654
61,664,-664
62,674,674
63,684,-684
64,694,694
65,704,-704
66,712,712
67,716,-716
68,720,720
69,733,-733
70,744,744
71,754,-754
72,764,764
73,774,-774
74,784,784
75,794,-794
76,804,804
77,812,-812
78,816,816
79,820,-820
80,833,833
81,844,-844
82,854,854
83,864,-864
84,874,874
85,884,-884
86,894,894
87,904,-904
88,913,913
89,918,-918
90,923,923
91,944,-944
92,955,955
93,966,-966
94,977,977
95,988,-988
96,999,999
97,1011,-1011
