Step,Value,WaveformValue
0,72,72
1,78,-78
2,83,83
3,89,-89
4,95,95
5,100,-100
6,104,104
7,115,-115
8,120,120
9,131,-131
10,141,141
11,151,-151
12,161,161
13,171,-171
14,181,181
15,191,-191
16,201,201
17,212,-212
18,218,218
19,224,-224
20,242,242
21,254,-254
22,266,266
23,275,-275
24,286,286
25,295,-295
26,306,306
27,315,-315
28,321,321
29,338,-338
30,349,349
31,361,-361
32,372,372
33,384,-384
34,396,396
35,405,-405
36,416,416
37,422,-422
38,440,440
39,446,-446
40,455,455
41,466,-466
42,475,475
43,486,-486
44,495,495
45,506,-506
46,514,514
47,519,-519
48,524,524
49,541,-541
50,551,551
51,561,-561
52,571,571
53,581,-581
54,591,591
55,601,-601
56,609,609
57,618,-618
58,621,621
59,635,-635
60,643,643
61,652,-652
62,661,661
63,669,-669
64,678,678
65,686,-686
66,692,692
67,701,-701
68,709,709
69,718,-718
70,721,721
71,735,-735
72,743,743
73,752,-752
74,761,761
75,769,-769
76,778,778
77,786,-786
78,792,792
79,801,-801
80,811,811
81,816,-816
82,821,821
83,837,-837
84,845,845
85,855,-855
86,865,865
87,875,-875
88,885,885
89,895,-895
90,905,905
91,916,-916
92,922,922
93,940,-940
94,946,946
95,955,-955
96,966,966
97,975,-975
98,986,986
99,995,-995
100,1006,1006
