Step,Value,WaveformValue
0,21,21
1,29,-29
2,41,41
3,45,-45
4,48,48
5,55,-55
6,58,58
7,65,-65
8,68,68
9,75,-75
10,78,78
11,85,-85
12,88,88
13,95,-95
14,98,98
15,105,-105
16,112,112
17,116,-116
18,120,120
19,128,-128
20,143,143
21,151,-151
22,159,159
23,171,-171
24,179,179
25,191,-191
26,199,199
27,211,-211
28,216,216
29,221,-221
30,234,234
31,245,-245
32,253,253
33,262,-262
34,272,272
35,282,-282
36,292,292
37,302,-302
38,311,311
39,315,-315
40,319,319
41,323,-323
42,335,335
43,342,-342
44,351,351
45,359,-359
46,371,371
47,379,-379
48,391,391
49,399,-399
50,411,411
51,417,-417
52,423,423
53,437,-437
54,446,446
55,455,-455
56,464,464
57,476,-476
58,485,485
59,494,-494
60,506,506
61,512,-512
62,515,515
63,518,-518
64,521,521
65,532,-532
66,540,540
67,543,-543
68,550,550
69,553,-553
70,560,560
71,563,-563
72,570,570
73,573,-573
74,580,580
75,583,-583
76,590,590
77,593,-593
78,600,600
79,603,-603
80,610,610
81,616,-616
82,619,619
83,622,-622
84,634,634
85,643,-643
86,650,650
87,653,-653
88,660,660
89,663,-663
90,670,670
91,673,-673
92,680,680
93,683,-683
94,690,690
95,693,-693
96,700,700
97,703,-703
98,710,710
99,716,-716
100,719,719
101,722,-722
102,734,734
103,743,-743
104,750,750
105,753,-753
106,760,760
107,763,-763
108,770,770
109,773,-773
110,780,780
111,783,-783
112,790,790
113,793,-793
114,800,800
115,807,-807
116,817,817
117,824,-824
118,841,841
119,852,-852
120,864,864
121,877,-877
122,887,887
123,897,-897
124,907,907
125,918,-918
126,926,926
127,941,-941
128,953,953
129,965,-965
130,976,976
131,987,-987
132,998,998
133,1013,-1013
