Step,Value,WaveformValue
0,20,20
1,26,-26
2,34,34
3,37,-37
4,41,41
5,46,-46
6,48,48
7,51,-51
8,56,56
9,58,-58
10,61,61
11,66,-66
12,68,68
13,71,-71
14,76,76
15,78,-78
16,81,81
17,86,-86
18,88,88
19,91,-91
20,96,96
21,98,-98
22,101,101
23,111,-111
24,123,123
25,137,-137
26,146,146
27,153,-153
28,161,161
29,171,-171
30,181,181
31,191,-191
32,201,201
33,209,-209
34,216,216
35,219,-219
36,222,222
37,234,-234
38,240,240
39,243,-243
40,249,249
41,256,-256
42,261,261
43,269,-269
44,276,276
45,281,-281
46,289,289
47,296,-296
48,301,301
49,309,-309
50,316,316
51,319,-319
52,322,322
53,334,-334
54,340,340
55,343,-343
56,349,349
57,356,-356
58,361,361
59,369,-369
60,376,376
61,381,-381
62,389,389
63,396,-396
64,401,401
65,409,-409
66,416,416
67,419,-419
68,422,422
69,434,-434
70,440,440
71,443,-443
72,449,449
73,456,-456
74,461,461
75,469,-469
76,476,476
77,481,-481
78,489,489
79,496,-496
80,501,501
81,509,-509
82,516,516
83,519,-519
84,522,522
85,534,-534
86,540,540
87,543,-543
88,549,549
89,556,-556
90,561,561
91,569,-569
92,576,576
93,581,-581
94,589,589
95,596,-596
96,601,601
97,608,-608
98,613,613
99,615,-615
100,617,617
101,619,-619
102,621,621
103,634,-634
104,639,639
105,645,-645
106,650,650
107,652,-652
108,657,657
109,663,-663
110,668,668
111,673,-673
112,678,678
113,683,-683
114,688,688
115,693,-693
116,698,698
117,703,-703
118,710,710
119,717,-717
120,721,721
121,736,-736
122,742,742
123,749,-749
124,757,757
125,765,-765
126,772,772
127,779,-779
128,787,787
129,795,-795
130,802,802
131,808,-808
132,814,814
133,817,-817
134,820,820
135,829,-829
136,842,842
137,848,-848
138,854,854
139,860,-860
140,863,863
141,869,-869
142,876,876
143,881,-881
144,889,889
145,896,-896
146,901,901
147,910,-910
148,917,917
149,921,-921
150,936,936
151,942,-942
152,949,949
153,957,-957
154,965,965
155,972,-972
156,979,979
157,987,-987
158,995,995
159,1002,-1002
