Step,Value,WaveformValue
0,21,21
1,35,-35
2,47,47
3,55,-55
4,61,61
5,69,-69
6,76,76
7,84,-84
8,91,91
9,99,-99
10,106,106
11,116,-116
12,121,121
13,140,-140
14,145,145
15,156,-156
16,169,169
17,181,-181
18,194,194
19,206,-206
20,216,216
21,221,-221
22,240,240
23,245,-245
24,256,256
25,269,-269
26,281,281
27,294,-294
28,306,306
29,316,-316
30,321,321
31,340,-340
32,345,345
33,356,-356
34,369,369
35,381,-381
36,394,394
37,406,-406
38,415,415
39,419,-419
40,423,423
41,441,-441
42,453,453
43,465,-465
44,475,475
45,485,-485
46,495,495
47,505,-505
48,511,511
49,514,-514
50,517,517
51,520,-520
52,529,529
53,545,-545
54,554,554
55,564,-564
56,574,574
57,584,-584
58,594,594
59,604,-604
60,613,613
61,618,-618
62,623,623
63,642,-642
64,655,655
65,666,-666
66,679,679
67,691,-691
68,704,704
69,713,-713
70,718,718
71,723,-723
72,742,742
73,755,-755
74,766,766
75,779,-779
76,791,791
77,804,-804
78,814,814
79,820,-820
80,832,832
81,852,-852
82,866,866
83,880,-880
84,886,886
85,900,-900
86,904,904
87,912,-912
88,916,916
89,920,-920
90,930,930
91,940,-940
92,944,944
93,955,-955
94,965,965
95,975,-975
96,985,985
97,995,-995
98,1005,1005
