Step,Value,WaveformValue
0,21,21
1,26,-26
2,33,33
3,37,-37
4,41,41
5,43,-43
6,47,47
7,51,-51
8,53,53
9,57,-57
10,61,61
11,63,-63
12,67,67
13,71,-71
14,73,73
15,77,-77
16,81,81
17,83,-83
18,87,87
19,91,-91
20,93,93
21,97,-97
22,101,101
23,105,-105
24,111,111
25,113,-113
26,115,115
27,117,-117
28,119,119
29,121,-121
30,128,128
31,137,-137
32,143,143
33,149,-149
34,155,155
35,161,-161
36,165,165
37,171,-171
38,175,175
39,181,-181
40,185,185
41,191,-191
42,195,195
43,201,-201
44,206,206
45,213,-213
46,216,216
47,219,-219
48,222,222
49,231,-231
50,236,236
51,243,-243
52,250,250
53,253,-253
54,260,260
55,263,-263
56,270,270
57,273,-273
58,280,280
59,283,-283
60,290,290
61,293,-293
62,300,300
63,304,-304
64,313,313
65,317,-317
66,321,321
67,330,-330
68,334,334
69,343,-343
70,351,351
71,357,-357
72,365,365
73,373,-373
74,381,381
75,387,-387
76,395,395
77,403,-403
78,412,412
79,417,-417
80,422,422
81,433,-433
82,442,442
83,450,-450
84,455,455
85,464,-464
86,474,474
87,484,-484
88,494,494
89,504,-504
90,513,513
91,517,-517
92,521,521
93,530,-530
94,534,534
95,543,-543
96,551,551
97,557,-557
98,565,565
99,573,-573
100,581,581
101,587,-587
102,595,595
103,603,-603
104,611,611
105,615,-615
106,619,619
107,623,-623
108,634,634
109,643,-643
110,651,651
111,657,-657
112,665,665
113,673,-673
114,681,681
115,687,-687
116,695,695
117,703,-703
118,711,711
119,715,-715
120,719,719
121,723,-723
122,734,734
123,743,-743
124,751,751
125,757,-757
126,765,765
127,773,-773
128,781,781
129,787,-787
130,795,795
131,803,-803
132,811,811
133,815,-815
134,819,819
135,823,-823
136,834,834
137,843,-843
138,851,851
139,857,-857
140,865,865
141,873,-873
142,881,881
143,887,-887
144,895,895
145,903,-903
146,911,911
147,915,-915
148,919,919
149,923,-923
150,934,934
151,943,-943
152,951,951
153,957,-957
154,965,965
155,973,-973
156,981,981
157,987,-987
158,995,995
159,1003,-1003
