Step,Value,WaveformValue
0,1,1
1,4,-4
2,8,8
3,13,-13
4,17,17
5,23,-23
6,30,30
7,34,-34
8,42,42
9,49,-49
10,58,58
11,67,-67
12,77,77
13,87,-87
14,97,97
15,107,-107
16,117,117
17,129,-129
18,145,145
19,158,-158
20,173,173
21,187,-187
22,203,203
23,211,-211
24,222,222
25,236,-236
26,250,250
27,260,-260
28,272,272
29,287,-287
30,303,303
31,310,-310
32,317,317
33,328,-328
34,343,343
35,354,-354
36,367,367
37,382,-382
38,396,396
39,411,-411
40,423,423
41,437,-437
42,452,452
43,466,-466
44,483,483
45,498,-498
46,516,516
47,528,-528
48,544,544
49,558,-558
50,573,573
51,587,-587
52,603,603
53,612,-612
54,624,624
55,640,-640
56,651,651
57,665,-665
58,681,681
59,697,-697
60,714,714
61,727,-727
62,743,743
63,756,-756
64,771,771
65,787,-787
66,804,804
67,816,-816
68,830,830
69,842,-842
70,857,857
71,873,-873
72,889,889
73,908,-908
74,921,921
75,937,-937
76,953,953
77,967,-967
78,985,985
79,1002,-1002
