Step,Value,WaveformValue
0,20,20
1,28,-28
2,41,41
3,50,-50
4,59,59
5,75,-75
6,88,88
7,103,-103
8,113,113
9,120,-120
10,135,135
11,155,-155
12,176,176
13,196,-196
14,218,218
15,224,-224
16,244,244
17,261,-261
18,280,280
19,296,-296
20,317,317
21,323,-323
22,340,340
23,351,-351
24,370,370
25,384,-384
26,406,406
27,420,-420
28,437,437
29,457,-457
30,478,478
31,500,-500
32,508,508
33,521,-521
34,541,541
35,558,-558
36,580,580
37,598,-598
38,621,621
39,641,-641
40,658,658
41,680,-680
42,698,698
43,721,-721
44,739,739
45,760,-760
46,775,775
47,794,-794
48,816,816
49,824,-824
50,846,846
51,864,-864
52,887,887
53,908,-908
54,923,923
55,944,-944
56,965,965
57,989,-989
58,1016,1016
