Step,Value,WaveformValue
0,83,83
1,86,-86
2,88,88
3,91,-91
4,94,94
5,97,-97
6,100,100
7,102,-102
8,107,107
9,113,-113
10,116,116
11,119,-119
12,122,122
13,130,-130
14,133,133
15,139,-139
16,144,144
17,150,-150
18,153,153
19,159,-159
20,164,164
21,170,-170
22,173,173
23,179,-179
24,184,184
25,190,-190
26,193,193
27,199,-199
28,204,204
29,209,-209
30,213,213
31,215,-215
32,217,217
33,219,-219
34,221,221
35,229,-229
36,236,236
37,240,-240
38,242,242
39,246,-246
40,250,250
41,252,-252
42,256,256
43,260,-260
44,262,262
45,266,-266
46,270,270
47,272,-272
48,276,276
49,280,-280
50,282,282
51,286,-286
52,290,290
53,292,-292
54,296,296
55,300,-300
56,303,303
57,309,-309
58,314,314
59,317,-317
60,320,320
61,326,-326
62,334,334
63,340,-340
64,343,343
65,349,-349
66,354,354
67,360,-360
68,363,363
69,369,-369
70,374,374
71,380,-380
72,383,383
73,389,-389
74,394,394
75,400,-400
76,403,403
77,409,-409
78,414,414
79,417,-417
80,420,420
81,426,-426
82,434,434
83,440,-440
84,443,443
85,449,-449
86,454,454
87,460,-460
88,463,463
89,469,-469
90,474,474
91,480,-480
92,483,483
93,489,-489
94,494,494
95,500,-500
96,504,504
97,511,-511
98,515,515
99,519,-519
100,523,523
101,533,-533
102,540,540
103,544,-544
104,551,551
105,558,-558
106,565,565
107,573,-573
108,580,580
109,584,-584
110,591,591
111,598,-598
112,605,605
113,611,-611
114,613,613
115,615,-615
116,617,617
117,619,-619
118,621,621
119,629,-629
120,636,636
121,640,-640
122,642,642
123,646,-646
124,650,650
125,652,-652
126,656,656
127,660,-660
128,662,662
129,666,-666
130,670,670
131,672,-672
132,676,676
133,680,-680
134,682,682
135,686,-686
136,690,690
137,692,-692
138,696,696
139,700,-700
140,703,703
141,709,-709
142,714,714
143,717,-717
144,720,720
145,726,-726
146,734,734
147,740,-740
148,743,743
149,749,-749
150,754,754
151,760,-760
152,763,763
153,769,-769
154,774,774
155,780,-780
156,783,783
157,789,-789
158,794,794
159,800,-800
160,803,803
161,809,-809
162,814,814
163,817,-817
164,820,820
165,826,-826
166,834,834
167,840,-840
168,843,843
169,849,-849
170,854,854
171,860,-860
172,863,863
173,869,-869
174,874,874
175,880,-880
176,883,883
177,889,-889
178,894,894
179,900,-900
180,902,902
181,906,-906
182,910,910
183,914,-914
184,916,916
185,918,-918
186,920,920
187,925,-925
188,934,934
189,939,-939
190,943,943
191,948,-948
192,953,953
193,958,-958
194,963,963
195,968,-968
196,973,973
197,978,-978
198,983,983
199,988,-988
200,993,993
201,998,-998
202,1003,1003
