Step,Value,WaveformValue
0,91,91
1,94,-94
2,100,100
3,103,-103
4,110,110
5,113,-113
6,116,116
7,119,-119
8,122,122
9,130,-130
10,133,133
11,140,-140
12,143,143
13,150,-150
14,153,153
15,160,-160
16,163,163
17,170,-170
18,173,173
19,180,-180
20,183,183
21,190,-190
22,193,193
23,200,-200
24,205,205
25,215,-215
26,220,220
27,225,-225
28,235,235
29,245,-245
30,255,255
31,265,-265
32,275,275
33,285,-285
34,295,295
35,305,-305
36,314,314
37,318,-318
38,322,322
39,331,-331
40,338,338
41,342,-342
42,351,351
43,358,-358
44,362,362
45,371,-371
46,378,378
47,382,-382
48,391,391
49,398,-398
50,402,402
51,413,-413
52,419,419
53,425,-425
54,436,436
55,442,-442
56,453,453
57,463,-463
58,473,473
59,483,-483
60,493,493
61,503,-503
62,512,512
63,517,-517
64,522,522
65,532,-532
66,542,542
67,552,-552
68,562,562
69,572,-572
70,582,582
71,592,-592
72,602,602
73,607,-607
