Step,Value,WaveformValue
0,78,78
1,84,-84
2,89,89
3,96,-96
4,100,100
5,103,-103
6,109,109
7,119,-119
8,122,122
9,136,-136
10,143,143
11,149,-149
12,159,159
13,169,-169
14,179,179
15,189,-189
16,199,199
17,209,-209
18,220,220
19,231,-231
20,238,238
21,248,-248
22,258,258
23,268,-268
24,278,278
25,288,-288
26,298,298
27,308,-308
28,317,317
29,320,-320
30,330,330
31,333,-333
32,339,339
33,349,-349
34,359,359
35,369,-369
36,379,379
37,389,-389
38,399,399
39,409,-409
40,421,421
41,436,-436
42,445,445
43,454,-454
44,464,464
45,474,-474
46,484,484
47,494,-494
48,504,504
49,513,-513
50,517,517
51,521,-521
52,535,535
53,543,-543
54,550,550
55,554,-554
56,563,563
57,570,-570
58,574,574
59,583,-583
60,590,590
61,594,-594
62,603,603
63,610,-610
64,617,617
65,621,-621
66,635,635
67,643,-643
68,650,650
69,654,-654
70,663,663
71,670,-670
72,674,674
73,683,-683
74,690,690
75,694,-694
76,703,703
77,711,-711
78,716,716
79,721,-721
80,736,736
81,745,-745
82,754,754
83,764,-764
84,774,774
85,784,-784
86,794,794
87,804,-804
88,815,815
89,821,-821
90,837,837
91,848,-848
92,860,860
93,866,-866
94,876,876
95,886,-886
96,896,896
97,906,-906
98,917,917
99,924,-924
100,943,943
101,953,-953
102,963,963
103,973,-973
104,983,983
105,993,-993
106,1003,1003
