Step,Value,WaveformValue
0,76,76
1,79,-79
2,83,83
3,85,-85
4,88,88
5,91,-91
6,94,94
7,97,-97
8,100,100
9,107,-107
10,113,113
11,116,-116
12,119,119
13,122,-122
14,135,135
15,141,-141
16,147,147
17,153,-153
18,158,158
19,164,-164
20,170,170
21,173,-173
22,178,178
23,184,-184
24,190,190
25,193,-193
26,198,198
27,204,-204
28,210,210
29,217,-217
30,220,220
31,230,-230
32,233,233
33,238,-238
34,244,244
35,250,-250
36,253,253
37,258,-258
38,264,264
39,270,-270
40,273,273
41,278,-278
42,284,284
43,290,-290
44,293,293
45,298,-298
46,304,304
47,309,-309
48,315,315
49,317,-317
50,319,319
51,321,-321
52,333,333
53,337,-337
54,342,342
55,347,-347
56,352,352
57,357,-357
58,362,362
59,367,-367
60,372,372
61,377,-377
62,382,382
63,387,-387
64,392,392
65,397,-397
66,402,402
67,408,-408
68,414,414
69,417,-417
70,420,420
71,430,-430
72,433,433
73,438,-438
74,444,444
75,450,-450
76,453,453
77,458,-458
78,464,464
79,470,-470
80,473,473
81,478,-478
82,484,484
83,490,-490
84,493,493
85,498,-498
86,504,504
87,510,-510
88,517,517
89,520,-520
90,530,530
91,533,-533
92,538,538
93,544,-544
94,550,550
95,553,-553
96,558,558
97,564,-564
98,570,570
99,573,-573
100,578,578
101,584,-584
102,590,590
103,593,-593
104,598,598
105,604,-604
106,610,610
107,617,-617
108,620,620
109,630,-630
110,633,633
111,638,-638
112,644,644
113,650,-650
114,653,653
115,658,-658
116,664,664
117,670,-670
118,673,673
119,678,-678
120,684,684
121,690,-690
122,693,693
123,698,-698
124,704,704
125,710,-710
126,717,717
127,720,-720
128,730,730
129,733,-733
130,738,738
131,744,-744
132,750,750
133,753,-753
134,758,758
135,764,-764
136,770,770
137,773,-773
138,778,778
139,784,-784
140,790,790
141,793,-793
142,798,798
143,804,-804
144,810,810
145,817,-817
146,820,820
147,830,-830
148,833,833
149,838,-838
150,844,844
151,850,-850
152,853,853
153,858,-858
154,864,864
155,870,-870
156,873,873
157,878,-878
158,884,884
159,890,-890
160,893,893
161,898,-898
162,904,904
163,911,-911
164,915,915
165,919,-919
166,923,923
167,936,-936
168,943,943
169,949,-949
170,957,957
171,964,-964
172,971,971
173,978,-978
174,985,985
175,992,-992
176,999,999
177,1007,-1007
