Step,Value,WaveformValue
0,21,21
1,35,-35
2,43,43
3,49,-49
4,61,61
5,67,-67
6,79,79
7,91,-91
8,97,97
9,109,-109
10,123,123
11,141,-141
12,151,151
13,161,-161
14,171,171
15,181,-181
16,191,191
17,201,-201
18,209,209
19,223,-223
20,241,241
21,251,-251
22,261,261
23,271,-271
24,281,281
25,291,-291
26,301,301
27,309,-309
28,323,323
29,341,-341
30,351,351
31,361,-361
32,371,371
33,381,-381
34,391,391
35,401,-401
36,409,409
37,423,-423
38,441,441
39,451,-451
40,461,461
41,471,-471
42,481,481
43,491,-491
44,501,501
45,511,-511
46,517,517
47,523,-523
48,543,543
49,555,-555
50,569,569
51,587,-587
52,605,605
53,621,-621
54,645,645
55,663,-663
56,679,679
57,701,-701
58,715,715
59,725,-725
60,751,751
61,767,-767
62,789,789
63,811,-811
64,821,821
65,845,-845
66,863,863
67,879,-879
68,901,901
69,915,-915
70,925,925
71,951,-951
72,967,967
73,989,-989
74,1011,1011
