Step,Value,WaveformValue
0,20,20
1,29,-29
2,45,45
3,59,-59
4,72,72
5,85,-85
6,99,99
7,113,-113
8,124,124
9,151,-151
10,175,175
11,201,-201
12,215,215
13,225,-225
14,252,252
15,274,-274
16,298,298
17,321,-321
18,348,348
19,371,-371
20,396,396
21,421,-421
22,448,448
23,471,-471
24,496,496
25,521,-521
26,549,549
27,574,-574
28,600,600
29,611,-611
30,625,625
31,653,-653
32,677,677
33,702,-702
34,716,716
35,727,-727
36,754,754
37,778,-778
38,802,802
39,815,-815
40,825,825
41,852,-852
42,874,874
43,898,-898
44,921,921
45,948,-948
46,971,971
47,996,-996
48,1021,1021
