Step,Value,WaveformValue
0,20,20
1,24,-24
2,32,32
3,41,-41
4,46,46
5,49,-49
6,53,53
7,56,-56
8,59,59
9,63,-63
10,66,66
11,69,-69
12,73,73
13,76,-76
14,79,79
15,83,-83
16,86,86
17,89,-89
18,93,93
19,96,-96
20,99,99
21,103,-103
22,111,111
23,116,-116
24,121,121
25,135,-135
26,150,150
27,155,-155
28,164,164
29,173,-173
30,181,181
31,191,-191
32,201,201
33,209,-209
34,216,216
35,219,-219
36,222,222
37,232,-232
38,244,244
39,251,-251
40,259,259
41,266,-266
42,272,272
43,278,-278
44,284,284
45,291,-291
46,299,299
47,306,-306
48,312,312
49,315,-315
50,318,318
51,321,-321
52,333,333
53,345,-345
54,352,352
55,358,-358
56,364,364
57,371,-371
58,379,379
59,386,-386
60,392,392
61,398,-398
62,404,404
63,412,-412
64,416,416
65,420,-420
66,428,428
67,439,-439
68,453,453
69,460,-460
70,464,464
71,472,-472
72,479,479
73,487,-487
74,494,494
75,502,-502
76,509,509
77,517,-517
78,521,521
79,534,-534
80,548,548
81,555,-555
82,563,563
83,570,-570
84,574,574
85,582,-582
86,589,589
87,597,-597
88,604,604
89,611,-611
90,614,614
91,617,-617
92,620,620
93,627,-627
94,637,637
95,649,-649
96,656,656
97,662,-662
98,668,668
99,674,-674
100,681,681
101,689,-689
102,696,696
103,702,-702
104,708,708
105,714,-714
106,717,717
107,720,-720
108,727,727
109,737,-737
110,749,749
111,756,-756
112,762,762
113,768,-768
114,774,774
115,781,-781
116,789,789
117,796,-796
118,802,802
119,808,-808
120,814,814
121,817,-817
122,820,820
123,827,-827
124,837,837
125,849,-849
126,856,856
127,862,-862
128,868,868
129,874,-874
130,881,881
131,889,-889
132,896,896
133,902,-902
134,909,909
135,917,-917
136,921,921
137,934,-934
138,948,948
139,955,-955
140,963,963
141,970,-970
142,974,974
143,982,-982
144,989,989
145,997,-997
146,1004,1004
