Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
27,most,ADJ,16,-16,110.54,-110.54
28,other,ADJ,14,-14,96.72,-96.72
110,English,ADJ,33,33,227.99,227.99
156,higher,ADJ,30,-30,207.26,207.26
230,Antediluvian,ADJ,51,51,352.35,-352.35
312,I.,ADJ,4,-4,27.64,27.64
319,Intermediate,ADJ,37,37,255.62,255.62
384,Early,ADJ,15,15,103.63,103.63
413,Cyclopean,ADJ,44,-44,303.99,303.99
464,Persian,ADJ,30,-30,207.26,207.26
473,Western,ADJ,23,23,158.90,-158.90
490,Additional,ADJ,37,37,255.62,255.62
540,Various,ADJ,37,37,255.62,255.62
562,Many,ADJ,13,13,89.81,89.81
703,Plastidular,ADJ,55,55,379.98,379.98
719,A.,ADJ,2,-2,13.82,13.82
730,Western,ADJ,23,23,158.90,-158.90
823,European,ADJ,32,-32,221.08,221.08
871,s,ADJ,3,3,20.73,-20.73
891,public,ADJ,51,51,352.35,-352.35
893,Ἡ,ADJ,0,0,0.00,0.00
907,mine,ADJ,16,-16,110.54,-110.54
915,Modern,ADJ,26,-26,179.63,179.63
925,human,ADJ,22,-22,151.99,151.99
938,ancient,ADJ,20,-20,138.18,-138.18
979,physical,ADJ,41,41,283.26,283.26
983,invisible,ADJ,54,-54,373.07,373.07
1003,present,ADJ,26,-26,179.63,179.63
1004,human,ADJ,22,-22,151.99,151.99
1025,next,ADJ,22,-22,151.99,151.99
1041,different,ADJ,42,-42,290.17,-290.17
1051,antediluvian,ADJ,51,51,352.35,-352.35
1055,present,ADJ,26,-26,179.63,179.63
1073,human,ADJ,22,-22,151.99,151.99
1090,absurd,ADJ,35,35,241.81,241.81
1107,materialistic,ADJ,51,51,352.35,-352.35
1115,natural,ADJ,24,-24,165.81,165.81
1133,own,ADJ,15,15,103.63,103.63
1136,distinctive,ADJ,49,49,338.53,-338.53
1153,universi,ADJ,39,39,269.44,269.44
1154,quamvis,ADJ,57,57,393.80,393.80
1175,same,ADJ,15,15,103.63,103.63
1189,possible,ADJ,48,-48,331.62,331.62
1191,verbatim,ADJ,51,51,352.35,-352.35
1202,obscure,ADJ,39,39,269.44,269.44
1216,first,ADJ,24,-24,165.81,165.81
1219,full,ADJ,30,-30,207.26,207.26
1240,clearer,ADJ,29,29,200.35,-200.35
1250,fuller,ADJ,36,-36,248.72,-248.72
1266,new,ADJ,13,13,89.81,89.81
1271,direct,ADJ,25,25,172.72,-172.72
1280,current,ADJ,27,27,186.54,-186.54
1281,religious,ADJ,44,-44,303.99,303.99
1286,simultaneous,ADJ,45,45,310.89,-310.89
1290,human,ADJ,22,-22,151.99,151.99
1294,different,ADJ,42,-42,290.17,-290.17
1307,former,ADJ,34,-34,234.90,-234.90
1326,animal,ADJ,26,-26,179.63,179.63
1337,primeval,ADJ,56,-56,386.89,-386.89
1357,same,ADJ,15,15,103.63,103.63
1359,primeval,ADJ,56,-56,386.89,-386.89
1370,collective,ADJ,55,55,379.98,379.98
1378,Creative,ADJ,37,37,255.62,255.62
1396,Babylonian,ADJ,50,-50,345.44,345.44
1402,first,ADJ,24,-24,165.81,165.81
1409,human,ADJ,22,-22,151.99,151.99
1421,black,ADJ,47,47,324.71,-324.71
1422,swarthy,ADJ,25,25,172.72,-172.72
1449,great,ADJ,21,21,145.08,145.08
1459,same,ADJ,15,15,103.63,103.63
1501,begat,ADJ,30,-30,207.26,207.26
1522,equilibrium,ADJ,77,77,531.97,531.97
1542,own,ADJ,15,15,103.63,103.63
1567,sexual,ADJ,36,-36,248.72,-248.72
1569,later,ADJ,16,-16,110.54,-110.54
1587,same,ADJ,15,15,103.63,103.63
1600,least,ADJ,14,-14,96.72,-96.72
1604,fundamental,ADJ,48,-48,331.62,331.62
1616,good,ADJ,24,-24,165.81,165.81
1624,certain,ADJ,23,23,158.90,-158.90
1633,allegorical,ADJ,58,-58,400.71,-400.71
1650,latest,ADJ,15,15,103.63,103.63
1658,passionate,ADJ,34,-34,234.90,-234.90
1673,right,ADJ,26,-26,179.63,179.63
1681,logical,ADJ,43,43,297.08,297.08
1690,Egyptian,ADJ,35,35,241.81,241.81
1715,primitive,ADJ,56,-56,386.89,-386.89
1720,real,ADJ,15,15,103.63,103.63
1738,Samothracian,ADJ,45,45,310.89,-310.89
1745,generic,ADJ,33,33,227.99,227.99
1796,primitive,ADJ,56,-56,386.89,-386.89
1811,first,ADJ,24,-24,165.81,165.81
1824,autochthonous,ADJ,44,-44,303.99,303.99
1848,mysterious,ADJ,34,-34,234.90,-234.90
1873,easy,ADJ,6,-6,41.45,41.45
1880,confused,ADJ,39,39,269.44,269.44
1884,Noachian,ADJ,27,27,186.54,-186.54
1889,undeniable,ADJ,44,-44,303.99,303.99
1891,late,ADJ,11,11,76.00,76.00
1898,primitive,ADJ,56,-56,386.89,-386.89
1914,first,ADJ,24,-24,165.81,165.81
1915,cosmogonic,ADJ,55,55,379.98,379.98
1925,Chaldæo‐Akkadian,ADJ,80,-80,552.70,-552.70
1930,sufficient,ADJ,50,-50,345.44,345.44
1936,Assyrian,ADJ,21,21,145.08,145.08
1939,other,ADJ,14,-14,96.72,-96.72
1952,original,ADJ,39,39,269.44,269.44
2002,greater,ADJ,27,27,186.54,-186.54
2006,mysterious,ADJ,34,-34,234.90,-234.90
2012,Babylonian,ADJ,50,-50,345.44,345.44
2033,ancestral,ADJ,31,31,214.17,-214.17
2040,human,ADJ,22,-22,151.99,151.99
2048,dilapidated,ADJ,52,-52,359.26,359.26
2075,latter,ADJ,17,17,117.45,117.45
2108,creative,ADJ,37,37,255.62,255.62
2153,first,ADJ,24,-24,165.81,165.81
2154,human,ADJ,22,-22,151.99,151.99
2159,proper,ADJ,40,-40,276.35,-276.35
