Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
21,anywhere,ADV,25,25,172.72,-172.72
38,almost,ADV,25,25,172.72,-172.72
41,whatsoever,ADV,45,45,310.89,-310.89
48,away,ADV,14,-14,96.72,-96.72
71,not,ADV,6,-6,15.83,15.83
87,where,ADV,21,21,145.08,145.08
191,Seven,ADV,22,-22,151.99,151.99
642,Even,ADV,19,19,131.27,131.27
646,now,ADV,15,15,103.63,103.63
649,not,ADV,6,-6,15.83,15.83
657,exhaustively,ADV,61,61,421.43,421.43
671,already,ADV,23,23,158.90,-158.90
746,not,ADV,6,-6,15.83,15.83
749,when,ADV,17,17,117.45,117.45
756,first,ADV,24,-24,165.81,165.81
759,originally,ADV,46,-46,317.80,317.80
778,however,ADV,39,39,269.44,269.44
779,soon,ADV,11,11,76.00,76.00
790,already,ADV,23,23,158.90,-158.90
816,consequently,ADV,52,-52,359.26,359.26
821,not,ADV,6,-6,15.83,15.83
833,not,ADV,6,-6,15.83,15.83
876,late,ADV,11,11,76.00,76.00
888,most,ADV,16,-16,110.54,-110.54
913,forward,ADV,42,-42,290.17,-290.17
929,now,ADV,15,15,103.63,103.63
983,now,ADV,15,15,103.63,103.63
991,together,ADV,28,-28,193.45,193.45
1016,not,ADV,6,-6,15.83,15.83
1038,more,ADV,18,-18,124.36,-124.36
1046,only,ADV,12,-12,82.91,-82.91
1108,previously,ADV,56,-56,386.89,-386.89
1121,not,ADV,6,-6,15.83,15.83
1165,perhaps,ADV,41,41,283.26,283.26
1169,unequivocally,ADV,78,-78,538.88,-538.88
1173,however,ADV,39,39,269.44,269.44
1182,not,ADV,6,-6,15.83,15.83
1202,exclusively,ADV,69,69,476.70,-476.70
1223,now,ADV,15,15,103.63,103.63
1227,back,ADV,40,-40,276.35,-276.35
1247,more,ADV,18,-18,124.36,-124.36
1273,ever,ADV,22,-22,151.99,151.99
1274,even,ADV,19,19,131.27,131.27
1283,therefore,ADV,32,-32,221.08,221.08
1285,fully,ADV,30,-30,207.26,207.26
1300,even,ADV,19,19,131.27,131.27
1319,fully,ADV,30,-30,207.26,207.26
1357,so,ADV,6,-6,41.45,41.45
1358,freely,ADV,25,25,172.72,-172.72
1363,Further,ADV,32,-32,221.08,221.08
1367,not,ADV,6,-6,15.83,15.83
1379,closely,ADV,29,29,200.35,-200.35
1398,thus,ADV,13,13,89.81,89.81
1405,not,ADV,6,-6,15.83,15.83
1452,finally,ADV,33,33,227.99,227.99
1462,never,ADV,24,-24,165.81,165.81
1517,daily,ADV,19,19,131.27,131.27
1565,more,ADV,18,-18,124.36,-124.36
1588,very,ADV,21,21,145.08,145.08
1594,not,ADV,6,-6,15.83,15.83
1643,often,ADV,18,-18,124.36,-124.36
1644,very,ADV,21,21,145.08,145.08
1645,loose,ADV,17,17,117.45,117.45
1660,most,ADV,16,-16,110.54,-110.54
1677,not,ADV,6,-6,15.83,15.83
1685,approximately,ADV,78,-78,538.88,-538.88
1692,carefully,ADV,46,-46,317.80,317.80
1716,very,ADV,21,21,145.08,145.08
1717,sparingly,ADV,48,-48,331.62,331.62
1720,only,ADV,12,-12,82.91,-82.91
1721,when,ADV,17,17,117.45,117.45
1723,obviously,ADV,54,-54,373.07,373.07
1743,separately,ADV,35,35,241.81,241.81
1778,Gently,ADV,23,23,158.90,-158.90
1781,kindly,ADV,35,35,241.81,241.81
1827,laboriously,ADV,53,53,366.16,-366.16
1836,often,ADV,18,-18,124.36,-124.36
1843,hardly,ADV,24,-24,165.81,165.81
1845,entirely,ADV,21,21,145.08,145.08
1853,often,ADV,18,-18,124.36,-124.36
1901,broadly,ADV,37,37,255.62,255.62
1907,more,ADV,18,-18,124.36,-124.36
1912,hardly,ADV,24,-24,165.81,165.81
1927,because,ADV,34,-34,234.90,-234.90
1933,very,ADV,21,21,145.08,145.08
1934,pointedly,ADV,37,37,255.62,255.62
1977,simply,ADV,36,-36,248.72,-248.72
1988,now,ADV,15,15,103.63,103.63
2000,even,ADV,19,19,131.27,131.27
2028,not,ADV,6,-6,15.83,15.83
2029,even,ADV,19,19,131.27,131.27
2039,could—even,ADV,48,-48,331.62,331.62
2044,promiscuously,ADV,68,-68,469.80,469.80
2054,so,ADV,6,-6,41.45,41.45
2055,effectually,ADV,54,-54,373.07,373.07
2071,very,ADV,21,21,145.08,145.08
2078,more,ADV,18,-18,124.36,-124.36
2095,always,ADV,24,-24,165.81,165.81
2105,rather,ADV,18,-18,124.36,-124.36
2115,now,ADV,15,15,103.63,103.63
2117,so,ADV,6,-6,41.45,41.45
2120,even,ADV,19,19,131.27,131.27
2139,however,ADV,39,39,269.44,269.44
2172,entirely,ADV,21,21,145.08,145.08
2192,directly,ADV,32,-32,221.08,221.08
2228,so,ADV,6,-6,41.45,41.45
2286,only,ADV,12,-12,82.91,-82.91
2299,instead,ADV,19,19,131.27,131.27
2307,correctly,ADV,38,-38,262.53,-262.53
2327,absolutely,ADV,43,43,297.08,297.08
2361,ago,ADV,17,17,117.45,117.45
2375,here,ADV,11,11,76.00,76.00
2405,much,ADV,26,-26,179.63,179.63
2435,surely,ADV,21,21,145.08,145.08
2445,rather,ADV,18,-18,124.36,-124.36
2456,Moreover,ADV,42,-42,290.17,-290.17
2471,even,ADV,19,19,131.27,131.27
2529,not,ADV,6,-6,15.83,15.83
2533,simply,ADV,36,-36,248.72,-248.72
2537,not,ADV,6,-6,15.83,15.83
2545,not,ADV,6,-6,15.83,15.83
2546,yet,ADV,2,-2,13.82,13.82
