Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
14,and,CONJ,10,-10,17.92,17.92
25,and,CONJ,10,-10,17.92,17.92
57,and,CONJ,10,-10,17.92,17.92
100,and,CONJ,10,-10,17.92,17.92
108,and,CONJ,10,-10,17.92,17.92
120,and,CONJ,10,-10,17.92,17.92
130,or,CONJ,8,-8,55.27,55.27
148,and,CONJ,10,-10,17.92,17.92
154,and,CONJ,10,-10,17.92,17.92
212,and,CONJ,10,-10,17.92,17.92
220,and,CONJ,10,-10,17.92,17.92
231,and,CONJ,10,-10,17.92,17.92
237,and,CONJ,10,-10,17.92,17.92
244,and,CONJ,10,-10,17.92,17.92
308,and,CONJ,10,-10,17.92,17.92
315,or,CONJ,8,-8,55.27,55.27
328,and,CONJ,10,-10,17.92,17.92
333,and,CONJ,10,-10,17.92,17.92
378,and,CONJ,10,-10,17.92,17.92
385,and,CONJ,10,-10,17.92,17.92
391,and,CONJ,10,-10,17.92,17.92
421,or,CONJ,8,-8,55.27,55.27
458,and,CONJ,10,-10,17.92,17.92
483,and,CONJ,10,-10,17.92,17.92
511,neither,CONJ,18,-18,124.36,-124.36
514,nor,CONJ,10,-10,69.09,69.09
533,and,CONJ,10,-10,17.92,17.92
566,or,CONJ,8,-8,55.27,55.27
594,and,CONJ,10,-10,17.92,17.92
625,and,CONJ,10,-10,17.92,17.92
628,and,CONJ,10,-10,17.92,17.92
651,and,CONJ,10,-10,17.92,17.92
666,and,CONJ,10,-10,17.92,17.92
683,and,CONJ,10,-10,17.92,17.92
714,but,CONJ,20,-20,138.18,-138.18
748,or,CONJ,8,-8,55.27,55.27
774,and,CONJ,10,-10,17.92,17.92
811,and,CONJ,10,-10,17.92,17.92
839,and,CONJ,10,-10,17.92,17.92
851,and,CONJ,10,-10,17.92,17.92
865,or,CONJ,8,-8,55.27,55.27
880,and,CONJ,10,-10,17.92,17.92
901,and,CONJ,10,-10,17.92,17.92
925,but,CONJ,20,-20,138.18,-138.18
985,and,CONJ,10,-10,17.92,17.92
1041,and,CONJ,10,-10,17.92,17.92
1055,and,CONJ,10,-10,17.92,17.92
1123,and,CONJ,10,-10,17.92,17.92
1157,and,CONJ,10,-10,17.92,17.92
1164,but,CONJ,20,-20,138.18,-138.18
1238,and,CONJ,10,-10,17.92,17.92
1243,and,CONJ,10,-10,17.92,17.92
1250,and,CONJ,10,-10,17.92,17.92
1288,or,CONJ,8,-8,55.27,55.27
1299,or,CONJ,8,-8,55.27,55.27
1342,or,CONJ,8,-8,55.27,55.27
1354,and,CONJ,10,-10,17.92,17.92
1365,or,CONJ,8,-8,55.27,55.27
1378,and,CONJ,10,-10,17.92,17.92
1387,and,CONJ,10,-10,17.92,17.92
1401,and,CONJ,10,-10,17.92,17.92
1406,and,CONJ,10,-10,17.92,17.92
1453,and,CONJ,10,-10,17.92,17.92
1459,and,CONJ,10,-10,17.92,17.92
1485,and,CONJ,10,-10,17.92,17.92
1526,nor,CONJ,10,-10,69.09,69.09
1534,and,CONJ,10,-10,17.92,17.92
1543,neither,CONJ,18,-18,124.36,-124.36
1545,nor,CONJ,10,-10,69.09,69.09
1562,and,CONJ,10,-10,17.92,17.92
1592,and,CONJ,10,-10,17.92,17.92
1621,and,CONJ,10,-10,17.92,17.92
1641,and,CONJ,10,-10,17.92,17.92
1672,Nor,CONJ,10,-10,69.09,69.09
1685,But,CONJ,20,-20,138.18,-138.18
1689,nor,CONJ,10,-10,69.09,69.09
1720,but,CONJ,20,-20,138.18,-138.18
