Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
0,Project,NOUN,48,-48,331.62,331.62
1,Gutenberg,NOUN,53,53,366.16,-366.16
2,EBook,NOUN,37,37,255.62,255.62
5,Secret,NOUN,19,19,131.27,131.27
6,Doctrine,NOUN,30,-30,207.26,207.26
7,Vol,NOUN,25,25,172.72,-172.72
10,Helena,NOUN,17,17,117.45,117.45
11,Petrovna,NOUN,42,-42,290.17,-290.17
12,Blavatsky,NOUN,60,-60,414.53,-414.53
14,ebook,NOUN,37,37,255.62,255.62
18,use,NOUN,9,9,62.18,-62.18
20,anyone,NOUN,10,-10,69.09,69.09
24,United,NOUN,19,19,131.27,131.27
25,States,NOUN,11,11,76.00,76.00
29,parts,NOUN,24,-24,165.81,165.81
32,world,NOUN,31,31,214.17,-214.17
35,cost,NOUN,15,15,103.63,103.63
40,restrictions,NOUN,40,-40,276.35,-276.35
54,terms,NOUN,19,19,131.27,131.27
57,Project,NOUN,48,-48,331.62,331.62
58,Gutenberg,NOUN,53,53,366.16,-366.16
59,License,NOUN,26,-26,179.63,179.63
63,eBook,NOUN,37,37,255.62,255.62
65,online,NOUN,19,19,131.27,131.27
67,http,NOUN,19,19,131.27,131.27
75,United,NOUN,19,19,131.27,131.27
76,States,NOUN,11,11,76.00,76.00
78,ll,NOUN,14,-14,96.72,-96.72
83,laws,NOUN,22,-22,151.99,151.99
86,country,NOUN,24,-24,165.81,165.81
94,ebook,NOUN,37,37,255.62,255.62
95,Title,NOUN,14,-14,96.72,-96.72
97,Secret,NOUN,19,19,131.27,131.27
98,Doctrine,NOUN,30,-30,207.26,207.26
99,Vol,NOUN,25,25,172.72,-172.72
101,Author,NOUN,20,-20,138.18,-138.18
102,Helena,NOUN,17,17,117.45,117.45
103,Petrovna,NOUN,42,-42,290.17,-290.17
104,Blavatsky,NOUN,60,-60,414.53,-414.53
105,Release,NOUN,20,-20,138.18,-138.18
106,Date,NOUN,10,-10,69.09,69.09
107,June,NOUN,25,25,172.72,-172.72
108,Ebook,NOUN,37,37,255.62,255.62
109,Language,NOUN,43,43,297.08,297.08
111,Character,NOUN,36,-36,248.72,-248.72
113,encoding,NOUN,38,-38,262.53,-262.53
114,UTF‐8,NOUN,17,17,117.45,117.45
115,START,NOUN,12,-12,82.91,-82.91
117,THE,NOUN,6,-6,4.16,-4.16
118,PROJECT,NOUN,48,-48,331.62,331.62
119,GUTENBERG,NOUN,53,53,366.16,-366.16
120,EBOOK,NOUN,37,37,255.62,255.62
121,THE,NOUN,6,-6,4.16,-4.16
122,SECRET,NOUN,19,19,131.27,131.27
123,DOCTRINE,NOUN,30,-30,207.26,207.26
124,VOL,NOUN,25,25,172.72,-172.72
127,Secret,NOUN,19,19,131.27,131.27
128,Doctrine,NOUN,30,-30,207.26,207.26
130,Synthesis,NOUN,21,21,145.08,145.08
132,Science,NOUN,27,27,186.54,-186.54
133,Religion,NOUN,38,-38,262.53,-262.53
135,Philosophy,NOUN,54,-54,373.07,373.07
137,Helena,NOUN,17,17,117.45,117.45
138,Petrovna,NOUN,42,-42,290.17,-290.17
139,Blavatsky,NOUN,60,-60,414.53,-414.53
140,Author,NOUN,20,-20,138.18,-138.18
142,Isis,NOUN,14,-14,96.72,-96.72
143,Unveiled.,NOUN,41,41,283.26,283.26
144,Third,NOUN,20,-20,138.18,-138.18
147,Edition,NOUN,21,21,145.08,145.08
148,SATYÂT,NOUN,7,7,48.36,-48.36
149,NÂSTI,NOUN,10,-10,69.09,69.09
150,PARO,NOUN,23,23,158.90,-158.90
151,DHARMAH,NOUN,32,-32,221.08,221.08
155,Religion,NOUN,38,-38,262.53,-262.53
158,Truth.,NOUN,16,-16,110.54,-110.54
159,Volume,NOUN,40,-40,276.35,-276.35
160,I.,NOUN,4,-4,27.64,27.64
161,Cosmogenesis,NOUN,52,-52,359.26,359.26
163,Theosophical,NOUN,53,53,366.16,-366.16
164,Publishing,NOUN,68,-68,469.80,469.80
165,House,NOUN,16,-16,110.54,-110.54
166,London,NOUN,23,23,158.90,-158.90
167,CONTENTS,NOUN,21,21,145.08,145.08
168,Preface,NOUN,41,41,283.26,283.26
171,First,NOUN,24,-24,165.81,165.81
172,Edition,NOUN,21,21,145.08,145.08
173,Preface,NOUN,41,41,283.26,283.26
176,Third,NOUN,20,-20,138.18,-138.18
179,Edition,NOUN,21,21,145.08,145.08
180,Introductory,NOUN,43,43,297.08,297.08
181,Proem,NOUN,31,31,214.17,-214.17
182,Pages,NOUN,31,31,214.17,-214.17
184,A,NOUN,2,-2,3.89,3.89
185,Pre‐Historic,NOUN,51,51,352.35,-352.35
186,Record,NOUN,28,-28,193.45,193.45
187,Part,NOUN,21,21,145.08,145.08
188,I.,NOUN,4,-4,27.64,27.64
189,Cosmic,NOUN,35,35,241.81,241.81
190,Evolution,NOUN,41,41,283.26,283.26
192,Stanzas,NOUN,33,33,227.99,227.99
195,Book,NOUN,36,-36,248.72,-248.72
197,Dzyan,NOUN,30,-30,207.26,207.26
198,Stanza,NOUN,30,-30,207.26,207.26
199,I.,NOUN,4,-4,27.64,27.64
200,Stanza,NOUN,30,-30,207.26,207.26
201,II,NOUN,8,-8,55.27,55.27
202,Stanza,NOUN,30,-30,207.26,207.26
203,III,NOUN,12,-12,82.91,-82.91
204,Stanza,NOUN,30,-30,207.26,207.26
205,IV,NOUN,19,19,131.27,131.27
206,Stanza,NOUN,30,-30,207.26,207.26
207,V.,NOUN,15,15,103.63,103.63
208,Stanza,NOUN,30,-30,207.26,207.26
209,VI,NOUN,19,19,131.27,131.27
210,Stanza,NOUN,30,-30,207.26,207.26
211,VII,NOUN,23,23,158.90,-158.90
212,Commentaries,NOUN,48,-48,331.62,331.62
215,Seven,NOUN,22,-22,151.99,151.99
216,Stanzas,NOUN,33,33,227.99,227.99
218,Their,NOUN,15,15,103.63,103.63
219,Terms,NOUN,19,19,131.27,131.27
222,Their,NOUN,15,15,103.63,103.63
223,Numeration,NOUN,34,-34,234.90,-234.90
225,Stanzas,NOUN,33,33,227.99,227.99
227,Shlokas,NOUN,38,-38,262.53,-262.53
228,Stanza,NOUN,30,-30,207.26,207.26
229,I.,NOUN,4,-4,27.64,27.64
230,Stanza,NOUN,30,-30,207.26,207.26
231,II,NOUN,8,-8,55.27,55.27
232,Stanza,NOUN,30,-30,207.26,207.26
233,III,NOUN,12,-12,82.91,-82.91
234,Stanza,NOUN,30,-30,207.26,207.26
235,IV,NOUN,19,19,131.27,131.27
236,Stanza,NOUN,30,-30,207.26,207.26
237,V.,NOUN,15,15,103.63,103.63
238,Stanza,NOUN,30,-30,207.26,207.26
239,VI,NOUN,19,19,131.27,131.27
241,Digression,NOUN,43,43,297.08,297.08
245,Misconceptions,NOUN,64,-64,442.16,-442.16
247,Planets,NOUN,29,29,200.35,-200.35
248,Rounds,NOUN,24,-24,165.81,165.81
250,Man,NOUN,13,13,89.81,89.81
252,Septenary,NOUN,28,-28,193.45,193.45
253,Division,NOUN,41,41,283.26,283.26
255,Different,NOUN,42,-42,290.17,-290.17
257,Systems,NOUN,20,-20,138.18,-138.18
259,Facts,NOUN,25,25,172.72,-172.72
261,Explanations,NOUN,58,-58,400.71,-400.71
264,Globes,NOUN,40,-40,276.35,-276.35
267,Monads,NOUN,25,25,172.72,-172.72
268,Stanza,NOUN,30,-30,207.26,207.26
269,VI.—_Continued_,NOUN,51,51,352.35,-352.35
270,Stanza,NOUN,30,-30,207.26,207.26
271,VII,NOUN,23,23,158.90,-158.90
274,Extracts,NOUN,39,39,269.44,269.44
278,Private,NOUN,41,41,283.26,283.26
279,Commentary,NOUN,40,-40,276.35,-276.35
280,Hitherto,NOUN,23,23,158.90,-158.90
281,Secret,NOUN,19,19,131.27,131.27
