Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
1,OF,ADP,14,-14,22.53,-22.53
11,of,ADP,14,-14,22.53,-22.53
16,By,ADP,14,-14,96.72,-96.72
21,of,ADP,14,-14,22.53,-22.53
37,than,ADP,9,9,62.18,-62.18
64,of,ADP,14,-14,22.53,-22.53
70,of,ADP,14,-14,22.53,-22.53
76,for,ADP,19,19,48.73,-48.73
82,of,ADP,14,-14,22.53,-22.53
89,in,ADP,6,-6,12.48,-12.48
96,of,ADP,14,-14,22.53,-22.53
103,of,ADP,14,-14,22.53,-22.53
116,of,ADP,14,-14,22.53,-22.53
118,of,ADP,14,-14,22.53,-22.53
126,with,ADP,19,19,52.68,-52.68
138,of,ADP,14,-14,22.53,-22.53
142,toward,ADP,27,27,186.54,-186.54
165,of,ADP,14,-14,22.53,-22.53
180,of,ADP,14,-14,22.53,-22.53
192,of,ADP,14,-14,22.53,-22.53
210,on,ADP,5,5,13.54,13.54
229,in,ADP,6,-6,12.48,-12.48
255,of,ADP,14,-14,22.53,-22.53
262,of,ADP,14,-14,22.53,-22.53
271,of,ADP,14,-14,22.53,-22.53
277,of,ADP,14,-14,22.53,-22.53
283,of,ADP,14,-14,22.53,-22.53
290,of,ADP,14,-14,22.53,-22.53
293,in,ADP,6,-6,12.48,-12.48
306,of,ADP,14,-14,22.53,-22.53
321,of,ADP,14,-14,22.53,-22.53
343,of,ADP,14,-14,22.53,-22.53
354,of,ADP,14,-14,22.53,-22.53
359,of,ADP,14,-14,22.53,-22.53
366,of,ADP,14,-14,22.53,-22.53
376,of,ADP,14,-14,22.53,-22.53
389,of,ADP,14,-14,22.53,-22.53
394,of,ADP,14,-14,22.53,-22.53
400,in,ADP,6,-6,12.48,-12.48
413,of,ADP,14,-14,22.53,-22.53
418,of,ADP,14,-14,22.53,-22.53
428,On,ADP,5,5,13.54,13.54
431,Of,ADP,14,-14,22.53,-22.53
434,On,ADP,5,5,13.54,13.54
454,on,ADP,5,5,13.54,13.54
461,On,ADP,5,5,13.54,13.54
472,above,ADP,35,35,241.81,241.81
477,by,ADP,14,-14,96.72,-96.72
480,at,ADP,3,3,9.13,9.13
487,into,ADP,10,-10,69.09,69.09
491,As,ADP,5,5,14.45,-14.45
492,for,ADP,19,19,48.73,-48.73
502,that,ADP,8,-8,17.58,17.58
508,from,ADP,28,-28,193.45,193.45
519,that,ADP,8,-8,17.58,17.58
524,in,ADP,6,-6,12.48,-12.48
528,by,ADP,14,-14,96.72,-96.72
530,from,ADP,28,-28,193.45,193.45
534,in,ADP,6,-6,12.48,-12.48
538,of,ADP,14,-14,22.53,-22.53
540,than,ADP,9,9,62.18,-62.18
544,for,ADP,19,19,48.73,-48.73
561,of,ADP,14,-14,22.53,-22.53
573,of,ADP,14,-14,22.53,-22.53
576,of,ADP,14,-14,22.53,-22.53
586,as,ADP,5,5,14.45,-14.45
591,of,ADP,14,-14,22.53,-22.53
598,into,ADP,10,-10,69.09,69.09
603,with,ADP,19,19,52.68,-52.68
614,of,ADP,14,-14,22.53,-22.53
618,for,ADP,19,19,48.73,-48.73
644,by,ADP,14,-14,96.72,-96.72
662,as,ADP,5,5,14.45,-14.45
672,as,ADP,5,5,14.45,-14.45
674,With,ADP,19,19,52.68,-52.68
677,of,ADP,14,-14,22.53,-22.53
