Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
72,I,PRON,4,-4,9.59,9.59
91,who,PRON,17,17,117.45,117.45
743,its,PRON,8,-8,55.27,55.27
770,his,PRON,11,11,76.00,76.00
1016,our,PRON,13,13,89.81,89.81
1142,our,PRON,13,13,89.81,89.81
1602,our,PRON,13,13,89.81,89.81
2044,his,PRON,11,11,76.00,76.00
2254,their,PRON,15,15,103.63,103.63
2736,who,PRON,17,17,117.45,117.45
3113,I,PRON,4,-4,9.59,9.59
3611,themselves,PRON,45,45,310.89,-310.89
3839,our,PRON,13,13,89.81,89.81
4413,our,PRON,13,13,89.81,89.81
4531,I,PRON,4,-4,9.59,9.59
4599,I,PRON,4,-4,9.59,9.59
4601,He,PRON,5,5,14.17,-14.17
4653,their,PRON,15,15,103.63,103.63
4854,itself,PRON,27,27,186.54,-186.54
7086,who,PRON,17,17,117.45,117.45
7523,his,PRON,11,11,76.00,76.00
8022,our,PRON,13,13,89.81,89.81
8038,our,PRON,13,13,89.81,89.81
8092,our,PRON,13,13,89.81,89.81
8129,our,PRON,13,13,89.81,89.81
8132,our,PRON,13,13,89.81,89.81
8186,their,PRON,15,15,103.63,103.63
8203,our,PRON,13,13,89.81,89.81
8207,our,PRON,13,13,89.81,89.81
8221,our,PRON,13,13,89.81,89.81
8258,our,PRON,13,13,89.81,89.81
8302,our,PRON,13,13,89.81,89.81
8624,his,PRON,11,11,76.00,76.00
9344,his,PRON,11,11,76.00,76.00
9823,our,PRON,13,13,89.81,89.81
10419,we,PRON,11,11,76.00,76.00
10546,our,PRON,13,13,89.81,89.81
10868,our,PRON,13,13,89.81,89.81
12567,whose,PRON,21,21,145.08,145.08
12802,our,PRON,13,13,89.81,89.81
14722,I,PRON,4,-4,9.59,9.59
14725,I,PRON,4,-4,9.59,9.59
15360,his,PRON,11,11,76.00,76.00
15828,their,PRON,15,15,103.63,103.63
16328,its,PRON,8,-8,55.27,55.27
17229,us,PRON,8,-8,55.27,55.27
17983,its,PRON,8,-8,55.27,55.27
18510,self,PRON,22,-22,151.99,151.99
18544,our,PRON,13,13,89.81,89.81
18559,our,PRON,13,13,89.81,89.81
