Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
29,Revised,VERB,35,35,241.81,241.81
36,is,VERB,7,7,48.36,-48.36
73,AND,VERB,10,-10,17.92,17.92
77,is,VERB,7,7,48.36,-48.36
80,Deceased,VERB,28,-28,193.45,193.45
92,gleans,VERB,27,27,186.54,-186.54
130,quoted,VERB,35,35,241.81,241.81
138,quoted,VERB,35,35,241.81,241.81
146,quoted,VERB,35,35,241.81,241.81
149,quoted,VERB,35,35,241.81,241.81
267,ii,VERB,8,-8,55.27,55.27
273,coming,VERB,38,-38,262.53,-262.53
275,i,VERB,4,-4,9.59,9.59
302,came,VERB,20,-20,138.18,-138.18
318,becomes,VERB,39,39,269.44,269.44
326,derived,VERB,38,-38,262.53,-262.53
367,ii,VERB,8,-8,55.27,55.27
384,do,VERB,9,9,26.96,-26.96
386,speculate,VERB,41,41,283.26,283.26
470,can,VERB,12,-12,82.91,-82.91
472,be,VERB,15,15,16.48,-16.48
473,i,VERB,4,-4,9.59,9.59
475,borrowed,VERB,47,47,324.71,-324.71
487,mirrored,VERB,38,-38,262.53,-262.53
523,becoming,VERB,53,53,366.16,-366.16
533,becomes,VERB,39,39,269.44,269.44
550,is,VERB,7,7,48.36,-48.36
557,form,VERB,28,-28,193.45,193.45
572,is,VERB,7,7,48.36,-48.36
648,attained,VERB,19,19,131.27,131.27
667,is,VERB,7,7,48.36,-48.36
684,Unmanifested,VERB,47,47,324.71,-324.71
691,shrouding,VERB,44,-44,303.99,303.99
698,manifesting,VERB,51,51,352.35,-352.35
707,Conditioned,VERB,40,-40,276.35,-276.35
708,can,VERB,12,-12,82.91,-82.91
710,be,VERB,15,15,16.48,-16.48
711,i,VERB,4,-4,9.59,9.59
726,is,VERB,7,7,48.36,-48.36
741,Thought,VERB,30,-30,207.26,207.26
756,called,VERB,31,31,214.17,-214.17
784,follows,VERB,44,-44,303.99,303.99
837,giving,VERB,49,49,338.53,-338.53
847,se_,VERB,4,-4,27.64,27.64
856,quoted,VERB,35,35,241.81,241.81
857,i,VERB,4,-4,9.59,9.59
860,worshipped,VERB,62,-62,428.34,-428.34
869,floating,VERB,42,-42,290.17,-290.17
909,reflected,VERB,41,41,283.26,283.26
912,looks,VERB,32,-32,221.08,221.08
940,Manifested,VERB,40,-40,276.35,-276.35
982,reached,VERB,27,27,186.54,-186.54
993,brought,VERB,44,-44,303.99,303.99
1041,called,VERB,31,31,214.17,-214.17
1044,called,VERB,31,31,214.17,-214.17
1053,quoted,VERB,35,35,241.81,241.81
1069,called,VERB,31,31,214.17,-214.17
1087,became,VERB,35,35,241.81,241.81
1101,quoted,VERB,35,35,241.81,241.81
1165,known,VERB,33,33,227.99,227.99
1203,developing,VERB,64,-64,442.16,-442.16
1208,raised,VERB,21,21,145.08,145.08
1212,determines,VERB,33,33,227.99,227.99
1344,played,VERB,29,29,200.35,-200.35
1354,are,VERB,8,-8,55.27,55.27
1364,is,VERB,7,7,48.36,-48.36
1369,is,VERB,7,7,48.36,-48.36
1378,means,VERB,17,17,117.45,117.45
1417,became,VERB,35,35,241.81,241.81
1479,were,VERB,17,17,117.45,117.45
1486,emanating,VERB,35,35,241.81,241.81
1533,Initiating,VERB,36,-36,248.72,-248.72
1541,made,VERB,18,-18,124.36,-124.36
1546,obtained,VERB,33,33,227.99,227.99
1551,see,VERB,5,5,34.54,-34.54
1560,coming,VERB,38,-38,262.53,-262.53
1573,is,VERB,7,7,48.36,-48.36
1583,ii,VERB,8,-8,55.27,55.27
1592,forged,VERB,38,-38,262.53,-262.53
1599,formed,VERB,35,35,241.81,241.81
1606,represents,VERB,35,35,241.81,241.81
1612,stands,VERB,17,17,117.45,117.45
1623,i,VERB,4,-4,9.59,9.59
1631,is,VERB,7,7,48.36,-48.36
1649,requires,VERB,43,43,297.08,297.08
1656,Swaddling,VERB,52,-52,359.26,359.26
1701,named,VERB,20,-20,138.18,-138.18
1771,preceded,VERB,41,41,283.26,283.26
1789,framed,VERB,34,-34,234.90,-234.90
1814,is,VERB,7,7,48.36,-48.36
1826,is,VERB,7,7,48.36,-48.36
1846,personifies,VERB,50,-50,345.44,345.44
1896,s,VERB,3,3,20.73,-20.73
1915,ii,VERB,8,-8,55.27,55.27
1934,described,VERB,48,-48,331.62,331.62
1960,see,VERB,5,5,34.54,-34.54
1969,studied,VERB,26,-26,179.63,179.63
1984,rejects,VERB,36,-36,248.72,-248.72
2014,becoming,VERB,53,53,366.16,-366.16
2027,attached,VERB,25,25,172.72,-172.72
2043,changing,VERB,46,-46,317.80,317.80
2054,Initiated,VERB,25,25,172.72,-172.72
2057,becoming,VERB,53,53,366.16,-366.16
2072,reading,VERB,32,-32,221.08,221.08
2080,known,VERB,33,33,227.99,227.99
2091,quoted,VERB,35,35,241.81,241.81
2092,ii,VERB,8,-8,55.27,55.27
2121,reveals,VERB,34,-34,234.90,-234.90
2135,separated,VERB,34,-34,234.90,-234.90
2150,born,VERB,24,-24,165.81,165.81
2157,must,VERB,18,-18,124.36,-124.36
2158,be,VERB,15,15,16.48,-16.48
2159,written,VERB,24,-24,165.81,165.81
2202,perceived,VERB,54,-54,373.07,373.07
2208,recorded,VERB,35,35,241.81,241.81
2214,reached,VERB,27,27,186.54,-186.54
2225,ii,VERB,8,-8,55.27,55.27
2231,compiled,VERB,51,51,352.35,-352.35
2237,used,VERB,15,15,103.63,103.63
2252,have,VERB,22,-22,50.66,-50.66
2257,encountered,VERB,35,35,241.81,241.81
2262,named,VERB,20,-20,138.18,-138.18
2265,known,VERB,33,33,227.99,227.99
2318,known,VERB,33,33,227.99,227.99
2320,i,VERB,4,-4,9.59,9.59
2330,can,VERB,12,-12,82.91,-82.91
2332,communicate,VERB,52,-52,359.26,359.26
2333,ii,VERB,8,-8,55.27,55.27
2345,do,VERB,9,9,26.96,-26.96
2347,know,VERB,31,31,214.17,-214.17
2353,will,VERB,28,-28,193.45,193.45
2354,be,VERB,15,15,16.48,-16.48
2355,composed,VERB,46,-46,317.80,317.80
2374,will,VERB,28,-28,193.45,193.45
2375,ii,VERB,8,-8,55.27,55.27
2381,known,VERB,33,33,227.99,227.99
2383,i,VERB,4,-4,9.59,9.59
2397,starts,VERB,15,15,103.63,103.63
2413,preserve,VERB,44,-44,303.99,303.99
2434,living,VERB,44,-44,303.99,303.99
2442,made,VERB,18,-18,124.36,-124.36
2454,known,VERB,33,33,227.99,227.99
2456,ii,VERB,8,-8,55.27,55.27
2470,will,VERB,28,-28,193.45,193.45
2471,return,VERB,19,19,131.27,131.27
2482,known,VERB,33,33,227.99,227.99
2484,ii,VERB,8,-8,55.27,55.27
2488,known,VERB,33,33,227.99,227.99
2490,ii,VERB,8,-8,55.27,55.27
2494,used,VERB,15,15,103.63,103.63
2503,concealed,VERB,38,-38,262.53,-262.53
2545,is,VERB,7,7,48.36,-48.36
2549,called,VERB,31,31,214.17,-214.17
2578,concealed,VERB,38,-38,262.53,-262.53
2645,is,VERB,7,7,48.36,-48.36
2664,called,VERB,31,31,214.17,-214.17
2667,is,VERB,7,7,48.36,-48.36
2675,is,VERB,7,7,48.36,-48.36
2688,called,VERB,31,31,214.17,-214.17
2699,materialized,VERB,62,-62,428.34,-428.34
2700,is,VERB,7,7,48.36,-48.36
2722,are,VERB,8,-8,55.27,55.27
2737,are,VERB,8,-8,55.27,55.27
2780,is,VERB,7,7,48.36,-48.36
2786,is,VERB,7,7,48.36,-48.36
2846,s,VERB,3,3,20.73,-20.73
2849,ii,VERB,8,-8,55.27,55.27
2969,opposed,VERB,42,-42,290.17,-290.17
2971,orthodox,VERB,43,43,297.08,297.08
2972,i,VERB,4,-4,9.59,9.59
2976,are,VERB,8,-8,55.27,55.27
3079,stored,VERB,19,19,131.27,131.27
3116,denote,VERB,14,-14,96.72,-96.72
3122,quoted,VERB,35,35,241.81,241.81
3123,ii,VERB,8,-8,55.27,55.27
3129,quoted,VERB,35,35,241.81,241.81
3130,ii,VERB,8,-8,55.27,55.27
3143,chained,VERB,27,27,186.54,-186.54
3153,denoting,VERB,31,31,214.17,-214.17
3168,created,VERB,24,-24,165.81,165.81
3198,Falling,VERB,45,45,310.89,-310.89
3229,suffering,VERB,54,-54,373.07,373.07
3303,quoted,VERB,35,35,241.81,241.81
3304,ii,VERB,8,-8,55.27,55.27
3312,see,VERB,5,5,34.54,-34.54
3336,called,VERB,31,31,214.17,-214.17
3356,see,VERB,5,5,34.54,-34.54
3360,is,VERB,7,7,48.36,-48.36
3367,i,VERB,4,-4,9.59,9.59
3391,is,VERB,7,7,48.36,-48.36
3397,Deified,VERB,33,33,227.99,227.99
3431,is,VERB,7,7,48.36,-48.36
3434,is,VERB,7,7,48.36,-48.36
3468,related,VERB,23,23,158.90,-158.90
3487,representing,VERB,50,-50,345.44,345.44
3515,i,VERB,4,-4,9.59,9.59
3594,came,VERB,20,-20,138.18,-138.18
3608,will,VERB,28,-28,193.45,193.45
3610,call,VERB,24,-24,165.81,165.81
3618,formed,VERB,35,35,241.81,241.81
3657,included,VERB,39,39,269.44,269.44
3663,ii,VERB,8,-8,55.27,55.27
3674,will,VERB,28,-28,193.45,193.45
3675,form,VERB,28,-28,193.45,193.45
3686,will,VERB,28,-28,193.45,193.45
3687,form,VERB,28,-28,193.45,193.45
3695,joined,VERB,33,33,227.99,227.99
3697,ii,VERB,8,-8,55.27,55.27
3718,lived,VERB,33,33,227.99,227.99
3723,called,VERB,31,31,214.17,-214.17
3730,quoted,VERB,35,35,241.81,241.81
3751,called,VERB,31,31,214.17,-214.17
3780,was,VERB,15,15,103.63,103.63
3914,diminished,VERB,43,43,297.08,297.08
4043,acting,VERB,29,29,200.35,-200.35
4217,meant,VERB,15,15,103.63,103.63
4303,ii,VERB,8,-8,55.27,55.27
4311,identified,VERB,40,-40,276.35,-276.35
4347,called,VERB,31,31,214.17,-214.17
4417,are,VERB,8,-8,55.27,55.27
4429,said,VERB,15,15,103.63,103.63
4431,be,VERB,15,15,16.48,-16.48
4502,invented,VERB,32,-32,221.08,221.08
4528,be,VERB,15,15,16.48,-16.48
4586,opposed,VERB,42,-42,290.17,-290.17
4588,ii,VERB,8,-8,55.27,55.27
4600,am,VERB,11,11,76.00,76.00
4605,is,VERB,7,7,48.36,-48.36
4616,becomes,VERB,39,39,269.44,269.44
4623,reproved,VERB,49,49,338.53,-338.53
4648,according,VERB,50,-50,345.44,345.44
4650,i,VERB,4,-4,9.59,9.59
4674,called,VERB,31,31,214.17,-214.17
4706,were,VERB,17,17,117.45,117.45
4712,Dethroned,VERB,29,29,200.35,-200.35
