Sequence,Complexity,Mode,Words,T1_Raw,T1_Plot,T2_Raw,T2_Plot
0,Simple,Narrative,8,232,-232,1491.35,1491.35
1,Simple,Narrative,34,610,-610,3575.86,3575.86
2,Compound/Complex,Narrative,26,474,-474,2937.72,2937.72
3,Complex,Narrative,27,439,439,2573.71,2573.71
4,Simple,Narrative,5,94,-94,612.13,-612.13
5,Simple,Narrative,25,667,667,4385.17,4385.17
6,Simple,Conversation,23,547,547,3379.59,3379.59
7,Simple,Narrative,4,72,-72,497.43,497.43
8,Simple,Conversation,21,496,-496,3330.07,-3330.07
9,Simple,Narrative,7,137,137,835.95,835.95
10,Simple,Narrative,1,43,43,297.08,297.08
11,Simple,Narrative,6,171,171,1171.47,1171.47
12,Simple,Narrative,4,101,101,697.78,697.78
13,Simple,Conversation,11,241,241,1553.53,1553.53
14,Simple,Narrative,2,42,-42,290.17,-290.17
15,Simple,Narrative,2,49,49,338.53,-338.53
16,Simple,Narrative,4,94,-94,649.42,649.42
17,Simple,Narrative,2,53,53,366.16,-366.16
18,Simple,Narrative,16,348,-348,2192.54,-2192.54
19,Simple,Narrative,4,72,-72,497.43,497.43
20,Simple,Narrative,2,42,-42,290.17,-290.17
21,Simple,Narrative,2,49,49,338.53,-338.53
22,Simple,Narrative,4,94,-94,649.42,649.42
23,Simple,Narrative,2,45,45,300.97,-300.97
24,Simple,Narrative,9,226,-226,1500.28,-1500.28
25,Simple,Narrative,7,163,163,1059.86,1059.86
26,Simple,Narrative,10,264,-264,1646.98,-1646.98
27,Simple,Narrative,2,81,81,559.61,559.61
28,Simple,Narrative,2,53,53,366.16,-366.16
29,Simple,Narrative,2,62,-62,428.34,-428.34
30,Simple,Narrative,8,209,209,1443.93,1443.93
31,Simple,Narrative,2,29,29,200.35,-200.35
32,Simple,Narrative,4,113,113,669.21,669.21
33,Simple,Narrative,5,141,141,922.96,-922.96
34,Simple,Narrative,2,30,-30,207.26,207.26
35,Simple,Narrative,6,106,-106,643.86,643.86
36,Simple,Narrative,2,34,-34,234.90,-234.90
37,Simple,Narrative,5,169,169,1116.41,-1116.41
38,Simple,Narrative,2,41,41,283.26,283.26
39,Simple,Narrative,3,69,69,476.70,-476.70
40,Simple,Narrative,10,179,179,1127.20,1127.20
41,Simple,Narrative,2,41,41,283.26,283.26
42,Simple,Narrative,3,58,-58,363.41,363.41
43,Simple,Narrative,2,45,45,310.89,-310.89
44,Simple,Narrative,6,101,101,535.13,535.13
45,Simple,Narrative,2,49,49,338.53,-338.53
46,Simple,Narrative,6,112,-112,706.47,-706.47
47,Simple,Narrative,2,44,-44,303.99,303.99
48,Simple,Narrative,5,92,-92,598.31,-598.31
49,Simple,Narrative,2,40,-40,276.35,-276.35
50,Simple,Narrative,5,131,131,853.88,853.88
51,Simple,Narrative,2,44,-44,303.99,303.99
52,Simple,Narrative,4,79,79,545.79,545.79
53,Simple,Narrative,2,48,-48,331.62,331.62
54,Simple,Narrative,6,113,113,631.91,631.91
55,Simple,Narrative,2,52,-52,359.26,359.26
56,Simple,Narrative,3,57,57,356.51,-356.51
57,Simple,Narrative,2,59,59,407.62,407.62
58,Simple,Narrative,3,55,55,342.69,-342.69
59,Simple,Narrative,2,55,55,379.98,379.98
60,Simple,Narrative,4,98,-98,604.88,-604.88
61,Simple,Narrative,2,33,33,227.99,227.99
62,Simple,Narrative,1,25,25,172.72,-172.72
63,Simple,Narrative,5,100,-100,618.70,-618.70
64,Simple,Narrative,2,26,-26,161.58,161.58
65,Simple,Narrative,4,73,73,421.81,421.81
66,Simple,Narrative,2,30,-30,207.26,207.26
67,Complex,Narrative,9,210,-210,1439.25,1439.25
68,Simple,Conversation,8,125,125,863.59,863.59
69,Simple,Narrative,4,79,79,535.87,535.87
70,Simple,Narrative,2,41,41,283.26,283.26
71,Simple,Narrative,6,96,-96,522.78,-522.78
72,Complex,Narrative,7,196,-196,1242.63,-1242.63
73,Simple,Narrative,8,161,161,875.47,875.47
74,Simple,Narrative,6,117,117,696.84,-696.84
75,Simple,Narrative,3,91,91,628.70,-628.70
76,Simple,Narrative,2,41,41,283.26,283.26
77,Simple,Narrative,13,217,217,1282.60,-1282.60
78,Simple,Narrative,2,45,45,310.89,-310.89
79,Simple,Narrative,4,98,-98,677.06,677.06
80,Simple,Narrative,2,49,49,338.53,-338.53
81,Simple,Narrative,3,40,-40,239.06,239.06
